id,name,lat,lon,surveyed_ahd_m,elvis_ahd_m,difference_m,abs_difference_m,dem_resolution,relief_within_ring_m,reading,source,dataset
doongal_ck_old_g,Doongal Ck (Old G,-25.501,152.3893,68.9,66.17,2.73,2.73,1m,,close,QLD Government,Fraser_coast_2022_LGA_SW_438000_7179000_1k_DEM_1m.tif
mona_mona_al,Mona Mona AL,-16.7319,145.5111,420.0,422.72,-2.72,2.72,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
round_mountain_al,Round Mountain AL,-28.0708,152.9272,60.6,57.96,2.64,2.64,1m,,close,QLD Government,ScenicRim_2011_LGA_SW_492000_6894000_1K_DEM_1m.tif
strathdickie_al,Strathdickie AL,-20.3264,148.5861,268.8,271.44,-2.64,2.64,50cm,,close,Griffith Uni,Proserpine201806-DEM-GRID-50cm_6657751_55_0001_0001.tif
boortkoi_al,Boortkoi AL,-26.5264,150.3953,333.6,330.97,2.63,2.63,1m,,close,QLD Government,Surat_CMA_2022_OGIA_SW_240000_7063000_1k_DEM_1m.tif
jandowae_macalister,Jandowae-MacAlister Rd AL,-26.8919,151.0853,337.2,334.59,2.61,2.61,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
niagara_al,Niagara AL,-26.6967,151.3933,556.5,553.89,2.61,2.61,50cm,,close,Griffith Uni,Dalby201811-DEM-GRID-50cm_3407046_56_0001_0001.tif
upper_don_al,Upper Don AL,-20.2943,148.1142,89.8,87.19,2.61,2.61,50cm,,close,Griffith Uni,Proserpine201311-DEM-GRID-50cm_6167755_55_0001_0001.tif
alligator_ck_rd,Alligator Ck Rd,-19.4035,146.946,18.7,16.11,2.59,2.59,50cm,,close,Griffith Uni,Townsville201804-DEM-GRID-50cm_4947854_55_0001_0001.tif
the_pinnacles_al,The Pinnacles AL,-19.385,146.6831,44.3,41.71,2.59,2.59,50cm,,close,Griffith Uni,Townsville201804-DEM-GRID-50cm_4667856_55_0001_0001.tif
horse_ck,Horse Ck,-25.8902,149.7581,210.5,207.93,2.57,2.57,50cm,,close,Griffith Uni,Taroom201810-DEM-GRID-50cm_7767133_55_0001_0001.tif
lumeah_al,Lumeah AL,-28.0614,153.0408,93.9,91.33,2.57,2.57,1m,,close,QLD Government,ScenicRim_2011_LGA_SW_504000_6895000_1K_DEM_1m.tif
quinalow_peranga_rd,Peranga (Haden-Maclagan Rd) TM,-27.106,151.624,439.8,437.23,2.57,2.57,1m,,close,QLD Government,Quinlow_2010_Twn_SW_363000_7001000_1K_DEM_1m.tif
upper_dogwood_ck,Upper Dogwood Ck AL,-26.2033,150.2567,374.6,372.04,2.56,2.56,1m,,close,QLD Government,Surat_CMA_2012_OGIA_SW_225000_7098000_1k_DEM_1m.tif
tumbulgum_tweed_riv,Tumbulgum,-28.2769,153.4608,5.3,2.75,2.55,2.55,50cm,,close,NSW Gov,TweedRiver2022-DEM-AHD-50cm_535500m6863000m_56_0020km_0016km.tif
jarra_ck_al,Jarra Creek AL,-17.8831,145.8428,26.9,24.36,2.54,2.54,50cm,,close,Griffith Uni,Innisfail201807-DEM-GRID-50cm_3778022_55_0001_0001.tif
giddi_giddi_south_tm,Giddi Giddi South TM,-28.4033,150.0517,202.8,200.27,2.53,2.53,1m,,close,QLD Government,Border_Rivers_2023_Prj_SW_799000_6854000_1k_DEM_1m.tif
medows_lane_goonoo,Medows Lane (Goonoo Goonoo Ck),-31.167,150.917,406.5,403.97,2.53,2.53,5m,,close,NSW Government,Tamworth201602-PHO3-AHD_3006550_56_0002_0002_5m.tif
black_mountain_farl,Black Mountain (Farleigh) AL,-21.0642,149.0955,296.0,298.52,-2.52,2.52,1m,,close,QLD Government,Mackay_2015_Rgn_SW_717000_7669000_1K_DEM_1m.tif
inglewood_br_ale,Inglewood Bridge AL,-28.4133,151.0825,286.0,283.49,2.51,2.51,1m,,close,QLD Government,Inglewood_2011_Twn_SW_312000_6855000_1K_DEM_1m.tif
copperlode_dam_al,Copperlode AL,-16.9794,145.6747,424.4,426.9,-2.5,2.5,50cm,,close,Griffith Uni,Cairns201807-DEM-GRID-50cm_3588122_55_0001_0001.tif
avoca_tm,Avoca TM,-27.9803,150.515,296.9,294.41,2.49,2.49,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
elbow_valley_al,Elbow Valley AL,-28.3731,152.14,491.8,494.28,-2.48,2.48,1m,,close,QLD Government,SouthernDowns_2010_Rgn_SW_415000_6861000_1K_DEM_1m.tif
whiteford_s_al,Whitefords AL,-21.3228,148.835,85.1,82.62,2.48,2.48,50cm,,close,Griffith Uni,Mackay201805-DEM-GRID-50cm_6907641_55_0001_0001.tif
bartle_view_al,Bartle View AL,-17.545,145.7156,572.6,575.05,-2.45,2.45,50cm,,close,Griffith Uni,Atherton201808-DEM-GRID-50cm_3638059_55_0001_0001.tif
lanifer_tm,Lanifer Tm,-21.9942,143.2537,214.5,216.95,-2.45,2.45,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
widgee_ck_pahlow_rd,Widgee Ck (pahlow Rd,-26.1956,152.4568,94.1,91.65,2.45,2.45,1m,,close,QLD Government,Gympie_2009_Rgn_SW_445000_7102000_1K_DEM_1m.tif
new_kildonan_tm,New Kildonan TM,-28.6656,150.445,226.0,223.56,2.44,2.44,1m,,close,NSW Spatial Services,Boggabilla_202310_LID1_AHD_1m_1km_56_2506826.tif
warrego_highway_aler,Warrego Highway AL,-27.5533,152.3889,83.0,80.57,2.43,2.43,1m,,close,QLD Government,Lockyer_Valley_2022_LGA_SW_439000_6952000_1k_DEM_1m.tif
hillcrest_wine_glass,Hillcrest AL (Wine Glass),-27.6763,153.03,77.0,74.58,2.42,2.42,1m,,close,QLD Government,Logan_2013_LGA_SW_502000_6938000_1K_DEM_1m.tif
bilyana_al,Bilyana AL,-18.1181,145.8772,61.3,63.71,-2.41,2.41,1m,,close,QLD Government,CassowaryCoast_2016_Prj_SW_381000_7996000_1K_DEM_1m.tif
canning_ck_al,Canning Creek AL,-28.1711,151.1361,351.4,349.0,2.4,2.4,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
gunnawarra_al_rudd,Gunnawarra (Rudd Ck) AL,-17.9164,145.1503,603.8,601.4,2.4,2.4,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
mcdonalds_al,McDonalds AL,-19.5472,146.8489,49.0,46.6,2.4,2.4,1m,,close,QLD Government,Woodstock_2011_Twn_SW_484000_7838000_1K_DEM_1m.tif
marian_weir_al,Marian Weir AL,-21.1392,148.9358,35.9,38.29,-2.39,2.39,1m,,close,QLD Government,Mackay_2009_Rgn_SW_700000_7660000_2K_DEM_1m.tif
walls_camp_pacific,Walls Camp AL (Pacific Haven),-25.24,152.5613,6.9,4.51,2.39,2.39,1m,,close,QLD Government,Fraser_coast_2022_LGA_SW_455000_7208000_1k_DEM_1m.tif
dalby_al,Dalby AL,-27.1833,151.2661,344.4,342.02,2.38,2.38,1m,,close,QLD Government,Dalby_2010_Twn_SW_328000_6992000_2K_DEM_1m.tif
cairns_airport_al,Cairns Airport AL,-16.8622,145.7419,2.5,0.14,2.36,2.36,50cm,,close,Griffith Uni,Cairns201807-DEM-GRID-50cm_3658135_55_0001_0001.tif
condamine_al,Condamine AL,-26.9267,150.1314,284.0,281.64,2.36,2.36,1m,,close,QLD Government,Condamine_2011_Twn_SW_215000_7018000_1K_DEM_1m.tif
brandon_al,Brandon AL,-19.5558,147.3681,8.8,6.45,2.35,2.35,50cm,,close,Griffith Uni,Ayr201804-DEM-GRID-50cm_5387837_55_0001_0001.tif
dunmore_exchange_tm,Dunmore Exchange TM,-27.6539,150.9136,339.8,337.45,2.35,2.35,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
seven_mile_br_al,Seven Mile Bridge AL,-27.6483,152.6347,35.8,33.45,2.35,2.35,1m,,close,QLD Government,Ipswich_2019_LGA_SW_463000_6941000_1k_DEM_1m.tif
yandill_tm,Yandill Tm,-16.0555,145.3073,227.3,229.65,-2.35,2.35,50cm,,close,Griffith Uni,Cooktown201308-DEM-GRID-50cm_3188224_55_0001_0001.tif
belmont_tm,Belmont Tm,-22.1644,143.4504,223.2,220.88,2.32,2.32,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
artunga_al,Artunga AL,-28.4014,151.2925,324.9,322.59,2.31,2.31,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
wolffdene_al,Wolffdene AL,-27.7828,153.1889,17.6,15.29,2.31,2.31,1m,,close,QLD Government,Logan_2021_GDA2020_LGA_SW_518500_6926500_500m_DEM_1m.tif
goomburra_al,Goomburra AL,-28.0389,152.1081,509.4,507.1,2.3,2.3,1m,,close,QLD Government,MaryvaletoGoomburra_2012_Rgn_SW_412000_6898000_1K_DEM_1m.tif
midgen_flat_at_newry,Midgen Flat at Newry,-28.7115,153.5618,67.8,70.1,-2.3,2.3,1m,,close,CSIRO and NEMA,RichmondRiver2023-DEM-AHD-1m_5546823_56_0001_0001.tif
mountain_view_mt_la,Mountain View (Mt La,-22.7175,143.2982,273.9,271.6,2.3,2.3,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
gleesons_mill_al,Gleesons Mill AL,-19.4347,146.7039,35.0,32.71,2.29,2.29,50cm,,close,Griffith Uni,Townsville201305-DEM-GRID-50cm_4687851_55_0001_0001.tif
the_channon,The Channon,-28.6792,153.2775,30.0,27.71,2.29,2.29,1m,,close,CSIRO and NEMA,RichmondRiver2023-DEM-AHD-1m_5276827_56_0001_0001.tif
three_mile_br_al,Three Mile Br AL,-27.6322,152.7269,20.7,22.99,-2.29,2.29,1m,,close,QLD Government,Ipswich_2014_LGA_SW_473000_6943000_1K_DEM_1m.tif
toogong_glenayr,Toogong (Glenayr),-33.3711,148.5917,325.1,322.81,2.29,2.29,1m,,close,NSW Government,Eugowra_202308_LID1_AHD_1m_1km_55_6486306.tif
dagworth_tm,Dagworth Tm,-21.6635,142.199,196.9,199.18,-2.28,2.28,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
sandy_waterhole_tm,Sandy Waterhole Tm,-18.0418,139.1922,24.2,21.93,2.27,2.27,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
seven_oaks_macleay,Seven Oaks (Macleay River),-31,152.932,0.3,2.57,-2.27,2.27,1m,,close,NSW Government,Macksville201607-LID1-AHD_4926570_56_0002_0002_1m.tif
maalan_rd_al,Maalan Road AL,-17.6247,145.5969,971.0,973.26,-2.26,2.26,50cm,,close,Griffith Uni,Innisfail201308-DEM-GRID-50cm_3518050_55_0001_0001.tif
cliffdale_al,Cliffdale (Repeater) AL,-27.2265,145.4986,290.5,288.26,2.24,2.24,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
creb_track_tm,Creb Track Tm,-16.1958,145.2922,13.6,11.39,2.21,2.21,1m,,close,QLD Government,Cairns_2010_Prj_SW_317000_8208000_1K_DEM_1m.tif
mill_rd_black_river,Mill Rd Black River,-19.2474,146.5738,29.0,26.8,2.2,2.2,1m,,close,QLD Government,Townsville_2009_Prj_SW_454000_7870000_2K_DEM_1m.tif
groper_ck_al,Groper Ck AL,-19.6917,147.5317,4.6,2.41,2.19,2.19,50cm,,close,Griffith Uni,Ayr201804-DEM-GRID-50cm_5557822_55_0001_0001.tif
18_bateson,18 Bateson,-27.39,152.7791,524.4,522.22,2.18,2.18,1m,,close,QLD Government,Brisbane_2009_LGA_SW_478000_6970000_1K_DEM_1m.tif
bentley_back_ck,Bentley (Back Creek),-28.7406,153.075,47.8,45.62,2.18,2.18,1m,,close,CSIRO and NEMA,RichmondRiver2023-DEM-AHD-1m_5076820_56_0001_0001.tif
mundays_lane_maria,Mundays Lane (Maria,-31.3253,152.8415,2.4,0.25,2.15,2.15,1m,,close,NSW Government,Kempsey201205-LID1-AHD_4846534_56_0002_0002_1m.tif
orange_dalton_st_br,Orange (Dalton St Bridge),-33.2771,149.1063,859.3,857.15,2.15,2.15,1m,,close,NSW Government,Orange201305-LID1-AHD_6966316_55_0002_0002_1m.tif
cardwell_tide_al,Cardwell Tide AL,-18.2633,146.0258,6.5,4.36,2.14,2.14,1m,,close,QLD Government,CassowaryCoast_2009_Ctl_SW_397000_7980000_1K_DEM_1m.tif
upper_emu_ck_al,Upper Emu Ck AL,-28.1608,152.3839,1066.0,1068.14,-2.14,2.14,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
belmore_river_u_s_fl,Belmore River U/S Floodgates,-31.07,152.97,-0.8,1.33,-2.13,2.13,1m,,close,NSW Government,Kempsey201607-LID1-AHD_4966562_56_0002_0002_1m.tif
allambie_al,Allambie (Repeater) AL,-26.9033,145.3525,288.0,290.12,-2.12,2.12,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
diwan_tm,Diwan Tm,-16.2031,145.404,32.0,34.12,-2.12,2.12,1m,,close,QLD Government,Cairns_2010_Prj_SW_329000_8207000_1K_DEM_1m.tif
reeves_al,Reeves AL,-20.1494,148.1556,41.0,38.88,2.12,2.12,1m,,close,QLD Government,Whitsunday_2009_Prj_SW_620000_7770000_2K_DEM_1m.tif
mcavoy_br_al,McAvoy Bridge AL,-17.5047,145.9928,9.4,7.3,2.1,2.1,50cm,,close,Griffith Uni,Innisfail201308-DEM-GRID-50cm_3938064_55_0001_0001.tif
pilton_kings_crk_gat,Pilton (Gatton-Clifton Rd) TM,-27.859,152.056,491.1,489.0,2.1,2.1,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
waikola_al,Waikola AL,-26.0003,149.1953,306.9,309.0,-2.1,2.1,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
wyoming_ssdr_tm,Wyoming Ssdr TM,-21.2566,143.5555,293.0,295.07,-2.07,2.07,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
upper_bluewater_aler,Upper Bluewater AL,-19.2386,146.4531,89.5,91.56,-2.06,2.06,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
marriages_al,Marriages AL,-25.56,151.1839,137.1,135.05,2.05,2.05,1m,,close,QLD Government,BurnettRivRiverleigh_2014_Prj_SW_317000_7171000_1K_DEM_1m.tif
mt_sylvia_al,Mt Sylvia AL,-27.7209,152.2194,179.5,181.55,-2.05,2.05,1m,,close,QLD Government,Lockyer_Valley_2022_LGA_SW_423000_6933000_1k_DEM_1m.tif
escott_station,Escott Station,-17.7999,139.3605,14.0,11.99,2.01,2.01,50cm,,close,QLD Government,Burketown_2024_Prj_SW_326000_8031000_1k_DEM_50cm.tif
macalister_bell_rd_j,Jimbour Ck AL,-26.9594,151.2174,358.7,360.71,-2.01,2.01,1m,,close,QLD Government,Jimbour_2012_Twn_SW_323000_7016000_1K_DEM_1m.tif
macalister_bell_rd_j_2,Macalister Bell Rd J,-26.9594,151.2174,358.7,360.71,-2.01,2.01,1m,,close,QLD Government,Jimbour_2012_Twn_SW_323000_7016000_1K_DEM_1m.tif
malanda_al,Malanda AL,-17.3594,145.5922,764.7,766.71,-2.01,2.01,1m,,close,QLD Government,Malanda_2011_Twn_SW_350000_8080000_1K_DEM_1m.tif
black_river_al,Black River AL,-19.2375,146.6328,15.5,13.5,2.0,2.0,50cm,,close,Griffith Uni,Townsville201804-DEM-GRID-50cm_4617872_55_0001_0001.tif
durrumbul_brunswick,Durrumbul (Brunswick River),-28.5328,153.4567,20.6,18.63,1.97,1.97,1m,,agrees,CSIRO and NEMA,RichmondRiver2023-DEM-AHD-1m_5446843_56_0001_0001.tif
chinderah_tweed_riv,Chinderah (Tweed River),-28.231,153.555,4.1,2.16,1.94,1.94,50cm,,agrees,NSW Gov,TweedRiver2022-DEM-AHD-50cm_535500m6863000m_56_0020km_0016km.tif
dow_s_ck_al,Dows Ck AL,-21.1092,148.7839,70.1,68.16,1.94,1.94,1m,,agrees,QLD Government,Mackay_2009_Rgn_SW_684000_7664000_2K_DEM_1m.tif
crystal_brook,Cressfield,-31.945,150.8119,307.2,305.27,1.93,1.93,5m,,agrees,NSW Government,Murrurundi201111-PHO3-AHD_2926462_56_0002_0002_5m.tif
eungella_dam_al,Eungella Dam AL,-21.1403,148.3653,685.7,683.78,1.92,1.92,1 Second,,agrees,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
nyora_al,Nyora AL,-28.1694,151.3928,468.9,466.99,1.91,1.91,1 Second,,agrees,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
churchill_street_ale,Churchill St AL,-25.5344,152.7067,9.4,11.3,-1.9,1.9,1m,,agrees,QLD Government,Maryborough_2015_Twn_SW_470000_7175000_1K_DEM_1m.tif
townsville_airport_a,Townsville Airport AL,-19.2483,146.7661,5.7,3.8,1.9,1.9,50cm,,agrees,Griffith Uni,Townsville201305-DEM-GRID-50cm_4757871_55_0001_0001.tif
moffatt_al,Moffatt AL,-27.0969,151.3978,373.3,375.19,-1.89,1.89,1m,,agrees,QLD Government,Kaimkillenbun_2012_Twn_SW_341000_7001000_1K_DEM_1m.tif
innisplain_al,Innisplain AL,-28.1704,152.9029,77.7,75.83,1.87,1.87,1m,,agrees,QLD Government,ScenicRim_2011_LGA_SW_490000_6883000_1K_DEM_1m.tif
little_bohle_river_a,Little Bohle River AL,-19.3258,146.6767,24.1,22.23,1.87,1.87,1m,,agrees,QLD Government,Townsville_2018_Prj_SW_466000_7863000_1.0K_DEM_1m.tif
eungella_al,Eungella AL,-21.1317,148.4931,680.6,678.74,1.86,1.86,1m,,agrees,QLD Government,Mackay_2009_Rgn_SW_654000_7662000_2K_DEM_1m.tif
woodlawn_wilsons_ri,Woodlawn,-28.785,153.3036,10.7,8.85,1.85,1.85,1m,,agrees,CSIRO and NEMA,RichmondRiver2023-DEM-AHD-1m_5296815_56_0001_0001.tif
mingo_crossing_al,Mingo Crossing AL,-25.395,151.7775,65.1,66.94,-1.84,1.84,1m,,agrees,QLD Government,BurnettRivYendaMingo_2014_Loc_SW_377000_7190000_1K_DEM_1m.tif
north_tamborine_aler,North Tamborine AL,-27.94,153.1917,541.6,539.76,1.84,1.84,1m,,agrees,QLD Government,ScenicRim_2011_LGA_SW_518000_6909000_1K_DEM_1m.tif
tiaro_al,Tiaro AL,-25.7244,152.5775,30.7,28.87,1.83,1.83,1m,,agrees,QLD Government,FraserCoast_2009_Ctl_SW_457000_7154000_1K_DEM_1m.tif
kooralbyn_al,Kooralbyn AL,-28.0661,152.8532,335.2,337.02,-1.82,1.82,1m,,agrees,QLD Government,ScenicRim_2011_LGA_SW_485000_6895000_1K_DEM_1m.tif
tully_weir_al,Tully Weir AL,-17.7772,145.565,690.4,688.59,1.81,1.81,50cm,,agrees,Griffith Uni,Innisfail201308-DEM-GRID-50cm_3478033_55_0001_0001.tif
waterford_al,Waterford AL,-27.6947,153.1364,16.5,14.7,1.8,1.8,1m,,agrees,QLD Government,Logan_2017_LGA_SW_513000_6936500_0.5K_DEM_1m.tif
dittmer_al,Dittmer AL,-20.4267,148.4758,37.9,36.11,1.79,1.79,50cm,,agrees,Griffith Uni,Proserpine201311-DEM-GRID-50cm_6537740_55_0001_0001.tif
hurricane_cliff_al,Hurricane Cliff AL,-20.0944,147.7097,568.0,566.23,1.77,1.77,1 Second,,agrees,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
toolebuc_tm,Toolebuc Tm,-22.1642,140.8431,223.2,224.97,-1.77,1.77,1 Second,,agrees,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
bluewater_al,Bluewater AL,-19.1833,146.5469,20.4,18.65,1.75,1.75,50cm,,agrees,Griffith Uni,Townsville201804-DEM-GRID-50cm_4527878_55_0001_0001.tif
ida_ck_al,Ida Ck AL,-20.2886,148.1175,84.8,83.06,1.74,1.74,50cm,,agrees,Griffith Uni,Proserpine201806-DEM-GRID-50cm_6167756_55_0001_0001.tif
central_mill_al,Central Mill AL,-17.6089,145.9792,18.1,16.37,1.73,1.73,50cm,,agrees,QLD Government,South_Johnstone_River_2024_Prj_SW_391000_8052000_1k_DEM_50cm.tif
scrubby_ck_tm,Scrubby Ck Tm,-17.3033,145.4617,769.9,768.17,1.73,1.73,1m,,agrees,QLD Government,Atherton_2011_Twn_SW_336000_8086000_1K_DEM_1m.tif
medpark_br_tm,Medpark Bridge TM,-28.3011,150.2936,216.1,214.38,1.72,1.72,1m,,agrees,QLD Government,Border_Rivers_2023_Prj_SW_823000_6865000_1k_DEM_1m.tif
roma_peak_al,Roma Peak AL,-20.3078,148.2181,145.3,147.0,-1.7,1.7,1 Second,,agrees,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
tindarra_tm,Tindarra TM,-26.4689,148.8047,311.3,313.0,-1.7,1.7,1 Second,,agrees,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
biboohra_tm,Biboohra Tm,-16.9159,145.4228,384.8,383.14,1.66,1.66,1m,,agrees,QLD Government,Biboohra_2011_Twn_SW_332000_8129000_1K_DEM_1m.tif
main_arm_rain_gaug,Main Arm Rain Gaug,-28.5011,153.4305,60.3,61.95,-1.65,1.65,1m,,agrees,CSIRO and NEMA,RichmondRiver2023-DEM-AHD-1m_5426847_56_0001_0001.tif
pinelands_al,Pinelands AL,-26.4342,150.0756,368.1,366.46,1.64,1.64,1m,,agrees,QLD Government,Surat_CMA_2012_OGIA_SW_208000_7072000_1k_DEM_1m.tif
terraine_al,Terraine AL,-28.4833,151.2761,327.6,325.96,1.64,1.64,1 Second,,agrees,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
kars_springs_welldu,Kars Springs (Welldun),-31.8988,150.658,342.3,343.93,-1.63,1.63,5m,,agrees,NSW Government,Murrurundi201111-PHO3-AHD_2786468_56_0002_0002_5m.tif
mt_wolvi_al,Mt Wolvi AL,-26.1767,152.8675,373.3,371.67,1.63,1.63,1m,,agrees,QLD Government,Gympie_2009_Rgn_SW_486000_7104000_1K_DEM_1m.tif
jiggi_gwynne_rd,Jiggi (Gwynne Street),-28.676,153.1538,258.1,259.7,-1.6,1.6,1m,,agrees,CSIRO and NEMA,RichmondRiver2023-DEM-AHD-1m_5156827_56_0001_0001.tif
laidley,Laidley,-27.6514,152.3808,111.3,109.72,1.58,1.58,1m,,agrees,QLD Government,LockyerValley_2015_Prj_SW_438000_6941000_1K_DEM_1m.tif
mt_brigalow_al,Mt Brigalow AL,-27.2022,151.7861,570.4,568.83,1.57,1.57,1 Second,,agrees,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
trebonne_al,Trebonne AL,-18.6181,146.0842,21.1,19.54,1.56,1.56,50cm,,agrees,Griffith Uni,Ingham201806-DEM-GRID-50cm_4037941_55_0001_0001.tif
mirani_township_aler,Mirani Township AL,-21.1606,148.8597,54.6,53.05,1.55,1.55,50cm,,agrees,Griffith Uni,Mackay201805-DEM-GRID-50cm_6937658_55_0001_0001.tif
emu_ck_al,Emu Ck AL,-20.4103,148.2306,218.7,217.16,1.54,1.54,50cm,,agrees,Griffith Uni,Proserpine201806-DEM-GRID-50cm_6287742_55_0001_0001.tif
millmerran_commens_s,Millmerran (Town Pool Commens St) TM,-27.8785,151.264,418.7,417.19,1.51,1.51,1m,,agrees,QLD Government,Millmerran_2010_Twn_SW_329000_6915000_1K_DEM_1m.tif
scottsdale_al,Scottsdale AL,-28.432,151.8756,759.5,757.99,1.51,1.51,1 Second,,agrees,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
zattas_al,Zattas AL,-18.4506,145.8294,50.7,49.19,1.51,1.51,50cm,,agrees,QLD Government,Herbert_River_2024_Prj_SW_376000_7959000_1k_DEM_50cm.tif
keerong_br_rd,"Terania Creek (Green Bridge, Keerrong)",-28.7138,153.2584,18.2,19.7,-1.5,1.5,1m,,agrees,NSW Government,Lismore201707-LID1-AHD_5246822_56_0002_0002_1m.tif
ross_river_dam_al,Ross River Dam AL,-19.41,146.7372,42.3,43.8,-1.5,1.5,1m,,agrees,QLD Government,Townsville_2009_Ctl_SW_472000_7853000_1K_DEM_1m.tif
walla_al_b,Walla AL-B,-25.1358,151.9844,43.6,42.13,1.47,1.47,1m,,agrees,QLD Government,BundabergCentral_2009_Rgn_SW_396000_7218000_2K_DEM_1m.tif
crawfords_lookout_al,Crawford Lkt AL,-17.615,145.8011,332.4,333.84,-1.44,1.44,50cm,,agrees,Griffith Uni,Innisfail201807-DEM-GRID-50cm_3728052_55_0001_0001.tif
mirani_weir_tw_al,Mirani Weir TW AL,-21.1772,148.8311,60.4,58.96,1.44,1.44,50cm,,agrees,Griffith Uni,Mackay201308-DEM-GRID-50cm_6907657_55_0001_0001.tif
ranges_br_al,Ranges Bridge AL,-27.1215,151.0919,328.4,326.96,1.44,1.44,1m,,agrees,QLD Government,Surat_CMA_202310_OGIA_SW_310000_6998000_1k_DEM_1m.tif
loudoun_br_al_2,Loudoun Br AL,-27.2136,151.1858,332.7,334.13,-1.43,1.43,1m,,agrees,QLD Government,Surat_CMA_2012_OGIA_SW_320000_6988000_1k_DEM_1m.tif
halifax_al,Halifax AL,-18.5789,146.2803,5.6,4.19,1.41,1.41,50cm,,agrees,Griffith Uni,Ingham201806-DEM-GRID-50cm_4247945_55_0001_0001.tif
upper_bogie_al,Upper Bogie AL,-20.4411,147.9953,283.6,285.0,-1.4,1.4,1 Second,,agrees,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
one_mile_br_aler,One Mile Br AL,-27.6272,152.7461,20.0,21.36,-1.36,1.36,1m,,agrees,QLD Government,Ipswich_2023_LGA_SW_474000_6944000_1k_DEM_1m.tif
bargara_al,Bargara AL,-24.8333,152.4603,6.2,7.55,-1.35,1.35,1m,,agrees,QLD Government,Bundaberg_2016_Rgn_SW_445000_7253000_1K_DEM_1m.tif
burketown_airstrip,Burketown Airstrip,-17.7561,139.5283,4.2,2.85,1.35,1.35,1m,,agrees,QLD Government,Burketown_2010_Twn_SW_343000_8036000_1K_DEM_1m.tif
the_stonewall_al,The Stonewall AL,-20.8247,148.0408,269.6,270.95,-1.35,1.35,50cm,,agrees,QLD Government,Burdekin_River_South_2024_Prj_SW_608000_7696500_500m_DEM_50cm.tif
campbells_river_ups,Campbells River (Upstream Chifley),-33.6134,149.6987,736.3,737.64,-1.34,1.34,5m,,agrees,NSW Government,Oberon201311-PHO3-AHD_7506276_55_0002_0002_5m.tif
gordon_ck_al,Gordon Ck AL,-19.3139,146.8094,4.9,3.56,1.34,1.34,1m,,agrees,QLD Government,Townsville_2018_Prj_SW_479000_7864000_1.0K_DEM_1m.tif
torridon_al,Torridon AL,-28.0522,151.59,421.0,419.69,1.31,1.31,1m,,agrees,QLD Government,Leyburn_2011_Twn_SW_361000_6896000_1K_DEM_1m.tif
raelee_downs_tm,Raelee Downs Tm,-21.593,143.0356,214.8,216.1,-1.3,1.3,1 Second,,agrees,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
dalbeg_al,Dalbeg AL,-20.3089,147.2961,61.6,62.89,-1.29,1.29,1m,,agrees,QLD Government,Burdekin_2009_Rgn_SW_530000_7754000_2K_DEM_1m.tif
munna_ck_al,Munna Creek AL,-25.6188,152.2336,101.4,100.11,1.29,1.29,1m,,agrees,QLD Government,Fraser_coast_2022_LGA_SW_423000_7166000_1k_DEM_1m.tif
