id,name,lat,lon,surveyed_ahd_m,elvis_ahd_m,difference_m,abs_difference_m,dem_resolution,relief_within_ring_m,reading,source,dataset
chinchilla_al,Chinchilla AL,-26.7369,150.6228,306.3,302.15,4.15,4.15,1m,,close,QLD Government,Chinchilla_2010_Twn_SW_262000_7040000_2K_DEM_1m.tif
fraser_coast_regiona,Fraser Coast Regiona,-25.3149,152.8885,11.6,7.49,4.11,4.11,1m,,close,QLD Government,HerveyBay_2015_Rgn_SW_488000_7200000_1K_DEM_1m.tif
jubilee_pocket_al,Jubilee Pocket AL,-20.2803,148.7456,116.6,120.71,-4.11,4.11,50cm,,close,Griffith Uni,Proserpine201806-DEM-GRID-50cm_6827756_55_0001_0001.tif
didcott_al,Didcott AL,-25.4775,151.865,150.9,146.81,4.09,4.09,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
bromfield_swamp_tm,Bromfield Swamp Tm,-17.3725,145.5398,803.2,807.28,-4.08,4.08,50cm,,close,Griffith Uni,Innisfail201308-DEM-GRID-50cm_3448078_55_0001_0001.tif
upper_castle_al,Upper Castle AL,-24.8309,150.5779,400.0,395.92,4.08,4.08,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
brigalow_br_aler,Brigalow Br AL,-26.9044,150.7831,311.9,307.84,4.06,4.06,1m,,close,QLD Government,Surat_CMA_2014_OGIA_SW_279000_7022000_1k_DEM_1m.tif
mckinlay_river_lh_tm,McKinlay River Lh TM,-21.2668,141.2827,169.2,165.16,4.04,4.04,1m,,close,QLD Government,McKinlay_2012_Twn_SW_529000_7648000_1K_DEM_1m.tif
glenwood_mary_river,Glenwood AL,-25.9358,152.6161,67.8,63.77,4.03,4.03,1m,,close,QLD Government,FraserCoast_2009_Ctl_SW_461000_7131000_1K_DEM_1m.tif
finch_hatton_al,Finch Hatton AL,-21.1328,148.6492,92.4,88.38,4.02,4.02,1m,,close,QLD Government,Mackay_2009_Rgn_SW_670000_7662000_2K_DEM_1m.tif
native_wells_al,Native Wells AL,-18.1469,145.0934,762.9,766.91,-4.01,4.01,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
