id,name,lat,lon,elvis_ahd_m,dem_resolution,dem_resolution_m,source,dataset
abbieglassie_al,Abbieglassie AL,-27.2919,147.4838,266.29,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
aberfeldy_river_at_beardmores,Aberfeldy River at Beardmores,-37.854,146.433,315.77,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
above_farmhouse_creek_picton_river,Above Farmhouse Creek (Picton River),-43.2469,146.6947,145.94,2m,2.0,TAS Government,Tasmania_Statewide_2m_DEM_14-08-2021.tif
acheron_river_at_taggerty,Acheron River at Taggerty,-37.3167,145.7167,201.18,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
ackland_hill,Ackland Hill,-35.045,138.649,414.85,1m,1.0,SA Government,Onkaparinga2019_DEM_2856119_01_001.tif
acton_park,Acton Park,-33.785,115.406,131.8,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
adams_br_al,Adams Br AL,-27.8294,152.5108,87.31,1m,1.0,QLD Government,ScenicRim_2011_LGA_SW_451000_6921000_1K_DEM_1m.tif
adamstown,Adamstown,-32.9446,151.711,27.42,1m,1.0,NSW Government,Newcastle201409-LID1-AHD_3786354_56_0002_0002_1m.tif
adavale_rd_al,Adavale Rd AL,-26.3264,146.0978,287.45,1m,1.0,QLD Government,Charleville_2011_Twn_SW_409000_7087000_1K_DEM_1m.tif
adelaide_airport,Adelaide Airport,-34.952,138.521,2.39,50cm,0.5,SA Government,AdelaideMetro2022-DEM-GRID-50cm_2736129_54_0001_0001.tif
adelaide_river_station,Adelaide River Station,-12.847,131.329,34.11,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
agnes_water_jarvey_drive_al,Agnes Water (Jarvey Drive) AL,-24.229678,151.90721,16.82,1m,1.0,QLD Government,Gladstone_2009_Ctl_SW_388000_7318000_2K_DEM_1m.tif
air_sea_rescue_al,Air Sea Rescue AL,-27.9525,153.4242,0.89,1m,1.0,QLD Government,GoldCoast_2009_LGA_SW_541000_6907000_1K_DEM_1m.tif
aitkenvale_al,Aitkenvale AL,-19.295,146.771,8.95,50cm,0.5,Griffith Uni,Townsville201804-DEM-GRID-50cm_4757866_55_0001_0001.tif
alawoona_comparison,Alawoona Comparison,-34.731,140.504,72.33,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
albany_creek_al,Albany Creek AL,-27.351,152.991,42.74,1m,1.0,QLD Government,MoretonBay_2014_LGA_SW_499000_6974000_1K_DEM_1m.tif
albion_park_post_office,Albion Park Post Office,-34.57,150.779,9.15,1m,1.0,NSW Government,Kiama201103-LID1-AHD_2966172_56_0002_0002_1m.tif
alderley_al,Alderley AL,-27.424,153.003,42.67,1m,1.0,QLD Government,Brisbane_2019_Prj_SW_500000_6966000_1k_DEM_1m.tif
aldgate_creek,Aldgate Creek,-35.015,138.732,426.16,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
alectown_vanvilla,Alectown (Vanvilla),-32.937,148.244,341.1,5m,5.0,NSW Government,PeakHill201204-PHO3-AHD_6166354_55_0002_0002_5m.tif
alice_downs_al,Alice Downs AL,-26.4131,146.887,364.87,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
alice_gap_repeater,Alice Gap Repeater,-23.725,133.863,697.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
alick_ck_tm,Alick Ck Tm,-20.4167,141.9992,127.57,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
allambie_lane,Allambie Lane,-19.363935,146.708949,20.86,1m,1.0,QLD Government,Townsville_2009_Ctl_SW_469000_7858000_1K_DEM_1m.tif
allandale_al,Allandale AL,-24.3028,146.0125,448.01,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
alligator_flats_al,Alligator Flats AL,-24.3333,151.5819,36.86,50cm,0.5,Griffith Uni,Gladstone201307-DEM-GRID-50cm_3567308_56_0001_0001.tif
alpha,Alpha,-23.649,146.6464,349.27,1m,1.0,QLD Government,Alpha_2011_Twn_SW_463000_7384000_1K_DEM_1m.tif
alroy_crossing_tm,Alroy Crossing Tm,-27.8055,144.7079,191.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
amberley_dnrm_al,Amberley (DNRM) AL,-27.6658,152.6989,23.68,1m,1.0,QLD Government,Ipswich_2009_LGA_SW_470000_6939000_1K_DEM_1m.tif
amberley_greens_rd_al_p,Amberley (Greens Rd) AL-P,-27.6783,152.6989,25.79,1m,1.0,QLD Government,Ipswich_2023_LGA_SW_470000_6938000_1k_DEM_1m.tif
amby,Amby,-26.5478,148.185,347.17,1m,1.0,QLD Government,Amby_2011_Twn_SW_618000_7063000_1K_DEM_1m.tif
amelia_cr_yarrowmer,Amelia Cr (Yarrowmer,-21.0257,145.7661,279.72,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
amery_acres,Amery Acres,-31.168,117.074,354.96,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
ampthill_al,Ampthill AL,-24.702,151.855,59.2,1m,1.0,QLD Government,Gladstone_2009_Rgn_SW_384000_7266000_2K_DEM_1m.tif
andergrove_al,Andergrove AL,-21.0986,149.1778,4.98,50cm,0.5,Griffith Uni,Mackay201805-DEM-GRID-50cm_7267665_55_0001_0001.tif
anduramba_al,Anduramba AL,-27.0712,152.0858,480.8,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
angas_creek,Angas Creek,-34.829,138.949,371.71,1m,1.0,SA Government,CudleeCreek2020_DEM_3126144_01_001.tif
annandale_alert,Annandale AL,-19.3128,146.7864,8.89,1m,1.0,QLD Government,Townsville_2018_Prj_SW_477000_7864000_1.0K_DEM_1m.tif
anro_tbrg,Anro TBRG,-30.36,116.29,345.76,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
antiene_ck_at_liddell,Antiene Ck at Liddell,-32.338,150.981,135.78,2m,2.0,NSW Government,Muswellbrook201711-LID2-AHD_3086420_56_0002_0002_2m.tif
antoneys_crossing_al,Antoneys Crossing AL,-21.2298,148.9495,32.39,50cm,0.5,Griffith Uni,Mackay201805-DEM-GRID-50cm_7027651_55_0001_0001.tif
anzac_oval,Anzac Oval,-23.69506,133.88507,578.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
apjohn_street_horseshoe_bay_tm,Apjohn Street Horseshoe Bay Tm,-19.1247,146.8493,8.59,1m,1.0,QLD Government,Townsville_2009_Ctl_SW_484000_7885000_1K_DEM_1m.tif
appin_wilton_road,Appin (Wilton Road),-34.211,150.774,220.16,1m,1.0,NSW Government,Wollongong201102-LID1-AHD_2946212_56_0002_0002_1m.tif
arabella,Arabella AL,-26.4336,146.4586,369.55,1m,1.0,QLD Government,Charleville_2011_Twn_SW_446000_7076000_1K_DEM_1m.tif
araluen_lower_araluen_rd,Araluen Lower (Araluen Rd),-35.688,149.837,160.59,2m,2.0,NSW Government,Araluen201804-LID2-AHD_7566046_55_0002_0002_2m.tif
arana_hills_olearia_st_west_tm,Arana Hills (Olearia St West) TM,-27.3972,152.9646,40.92,1m,1.0,QLD Government,Moreton_Bay_2018_LGA_SW_496000_6969000_1k_DEM_1m.tif
arcadia_valley_school_al,Arcadia Valley School AL,-25.2555,148.8217,309.24,1m,1.0,QLD Government,ArcadiaValley_2012_Loc_SW_683000_7205000_1K_DEM_1m.tif
archerton,Archerton,-36.908,146.238,895.79,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
archie_ck_tm,Archie Ck Tm,-18.5062,138.8551,70.89,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
arcturus_downs_al,Arcturus Downs AL,-24.040784,148.409309,213.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
arden_downs_tm,Arden Downs TM,-28.23,149.5617,221.71,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
argalong_sandy_creek,Argalong (Sandy Creek),-35.317,148.433,653.81,2m,2.0,NSW Government,Tumut201702-LID2-AHD_6306090_55_0002_0002_2m.tif
armidale_stephens_br,Armidale-Stephens Br,-30.5117,151.67,970.36,2m,2.0,NSW Government,Armidale201505-LID2-AHD_3726622_56_0002_0002_2m.tif
arradale,Arradale,-29.11,115.317,278.77,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
arthurs_lkt_al,Arthurs Lkt AL,-25.769,150.77,306.59,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
ashford_avenue,Ashford Avenue,-33.931139,150.990551,1.08,1m,1.0,NSW Government,Penrith201304-LID1-AHD_3146242_56_0002_0002_1m.tif
ashgrove_royal_pde_al,Ashgrove (Royal Pde) AL,-27.4466,152.9701,29.26,1m,1.0,QLD Government,Brisbane_2014_LGA_SW_497000_6964000_1K_DEM_1m.tif
ashton,Ashton,-34.9313,138.75,499.75,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
aspley_res_al,Aspley Res AL,-27.375556,153.008333,49.17,1m,1.0,QLD Government,Brisbane_2009_LGA_SW_500000_6971000_1K_DEM_1m.tif
aspley_stringybark_dr_al,Aspley (Stringybark Dr) AL,-27.371,153.004,46.07,1m,1.0,QLD Government,Brisbane_2009_LGA_SW_500000_6972000_1K_DEM_1m.tif
aston_downs_al,Aston Downs AL,-33.799,115.313,72.97,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
athelstone,Athelstone,-34.869,138.6917,77.22,50cm,0.5,SA Government,AdelaideMetro2022-DEM-GRID-50cm_2896139_54_0001_0001.tif
atkinson_dam_al,Atkinson Dam AL,-27.4319,152.4642,65.65,1m,1.0,QLD Government,LockyerCreekGap_2012_Rgn_SW_447000_6965000_1K_DEM_1m.tif
auburn,Auburn,-25.954497,150.615197,276.74,50cm,0.5,Griffith Uni,Taroom201810-DEM-GRID-50cm_2617127_56_0001_0001.tif
auburn_rosnay_golf_club,Auburn (Rosnay Golf Club),-33.865,151.014,9.36,1m,1.0,NSW Government,Sydney201304-LID1-AHD_3166250_56_0002_0002_1m.tif
audley_royal_national_park,Audley (Royal National Park),-34.066,151.057,93.23,1m,1.0,NSW Government,PortHacking201304-LID1-AHD_3206228_56_0002_0002_1m.tif
augathella_al,Augathella AL,-25.794,146.585,364.58,1m,1.0,QLD Government,Augathella_2011_Twn_SW_458000_7147000_1K_DEM_1m.tif
augathella_rptr_aler,Augathella Rptr AL,-25.8044,146.5894,387.13,1m,1.0,QLD Government,Augathella_2011_Twn_SW_458000_7145000_1K_DEM_1m.tif
augustus_downs_stati,Augustus Downs Stati,-18.5119,139.8534,29.81,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
avalon_station,Avalon Station,-37.253,144.862,386.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
avalon_wollstonecraft_ave,Avalon (Wollstonecraft Ave),-33.63,151.3291,12.18,1m,1.0,NSW Government,Sydney201105-LID1-AHD_3446276_56_0002_0002_1m.tif
avoca_river_at_charlton_town,Avoca River at Charlton Town,-36.2671,143.3487,132.08,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
avoca_river_at_logan,Avoca River at Logan,-36.6228,143.471,170.4,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
avoca_river_at_yawong_weir,Avoca River at Yawong Weir,-36.438,143.298,150.54,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
avocet_al,Avocet AL,-23.823,148.127,239.1,50cm,0.5,Griffith Uni,Emerald201803-DEM-GRID-50cm_6147364_55_0001_0001.tif
avon_fire_tower,Avon Fire Tower,-34.373,150.61,557.93,1m,1.0,NSW Government,Wollongong201405-LID1-AHD_2806192_56_0002_0002_1m.tif
avon_river_at_stratford,Avon River at Stratford,-37.9686,147.0767,17.49,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
avon_river_at_the_channel,Avon River at the Channel,-37.80236,146.8855,113.99,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
awaba_stony_ck,Awaba (Stony Ck),-33.015,151.5397,24.54,1m,1.0,NSW Government,LakeMacquarie201409-LID1-AHD_3626346_56_0002_0002_1m.tif
awoonga_dam_al,Awoonga Dam AL,-24.07,151.322,32.6,1m,1.0,QLD Government,Gladstone_2014_Rgn_SW_329000_7337000_1K_DEM_1m.tif
baerami_the_old_dairy,Baerami (The Old Dairy),-32.379,150.487,167.59,2m,2.0,NSW Government,Merriwa201710-LID2-AHD_2626414_56_0002_0002_2m.tif
bahrs_scrub_alert,Bahrs Scrub AL,-27.7372,153.1894,10.33,1m,1.0,QLD Government,Logan_2017_LGA_SW_518500_6931500_0.5K_DEM_1m.tif
bairds_tm,Bairds Tm,-16.1817,145.2808,59.14,1m,1.0,QLD Government,Cairns_2010_Prj_SW_316000_8210000_1K_DEM_1m.tif
bakers_bend_al,Bakers Bend AL,-26.7053,146.1089,271.32,1m,1.0,QLD Government,Charleville_2011_Twn_SW_411000_7045000_1K_DEM_1m.tif
bakers_creek_al,Bakers Creek AL,-21.216,149.146,9.82,1m,1.0,QLD Government,Mackay_2009_Rgn_SW_722000_7652000_2K_DEM_1m.tif
bakers_road_coffs_harbour,Bakers Road (Coffs Harbour),-30.286,153.09,19.14,1m,1.0,NSW Government,CoffsHarbour201309-LID1-AHD_5086648_56_0002_0002_1m.tif
bald_hill,Bald Hill,-37.032,146.351,1190.18,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
balgownie_brokers_rd,Balgownie (Brokers Rd),-34.392,150.869,105.96,1m,1.0,NSW Government,Wollongong201304-LID1-AHD_3046192_56_0002_0002_1m.tif
balhannah_gumbooya,Balhannah (Gumbooya),-35.022,138.855,404.28,50cm,0.5,SA Government,MtBarker2021-DEM-GRID-0_5_3046122_54_0001_0001.tif
ball_lkt_al,Ball Lkt AL,-26.456,152.956,111.52,1m,1.0,QLD Government,Sunshine_Coast_2022_LGA_SW_495000_7073000_1k_DEM_1m.tif
ballangarry_bridge,Ballangarry Bridge,-28.4189913,148.812903,180.35,1m,1.0,QLD Government,Nindigully_2012_Twn_SW_677000_6855000_1K_DEM_1m.tif
ballera_jackson_rd,Ballera Jackson Rd,-27.5006,141.9317,71.49,1m,1.0,DCCEEW,CooperBasin2019_DEM_5926957_54_01_001.tif
ballon_al,Ballon AL,-26.4489,150.8925,351.5,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
balook,Balook,-38.431,146.542,579.32,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
balquhain,Balquhain,-36.821,145.705,577.33,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
ban_ban_springs_airstrip,Ban Ban Springs Airstrip,-13.375,131.498,123.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
banana_range_al,Banana Range AL,-24.4486,150.3156,602.34,50cm,0.5,Griffith Uni,Moura201802-DEM-GRID-50cm_2277293_56_0001_0001.tif
banksia_beach_al,Banksia Beach AL,-27.033,153.149,6.82,1m,1.0,QLD Government,MoretonBay_2014_LGA_SW_514000_7009000_1K_DEM_1m.tif
banksia_park,Banksia Park,-34.809,138.723,184.86,50cm,0.5,SA Government,AdelaideMetro2022-DEM-GRID-50cm_2916145_54_0001_0001.tif
baradine_forestry,Baradine Forestry,-30.947,149.065,300.52,5m,5.0,NSW Government,Baradine201106-PHO3-AHD_6966574_55_0002_0002_5m.tif
baralaba,Baralaba,-24.1817,149.81,92.34,1m,1.0,QLD Government,Baralaba_2011_Twn_SW_785000_7322000_1K_DEM_1m.tif
barberton_east,Barberton East,-30.755,116.13,321.3,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
bardon_detention_basin_al,Bardon (Detention Basin) AL,-27.459,152.966,82.4,1m,1.0,QLD Government,Brisbane_2014_LGA_SW_496000_6962000_1K_DEM_1m.tif
barkly_river_wdr_tm,Barkly River Wdr Tm,-18.2408,139.2658,42.11,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
barnetts_rd_al,Barnetts Rd AL,-24.518,151.962,6.74,1m,1.0,QLD Government,Gladstone_2009_Ctl_SW_394000_7288000_2K_DEM_1m.tif
barneys_bore_al,Barneys Bore AL,-24.544,145.364,313.29,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
barngo_xing_al,Barngo Xing AL,-25.028,147.284,548.29,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
barolin_st_alert,Maryborough St AL,-24.873,152.35,2.46,1m,1.0,QLD Government,Bundaberg_2011_Rgn_SW_434000_7248000_1K_DEM_1m.tif
baroon_boat_ramp_al,Baroon Boat Ramp AL,-26.718,152.872,263.75,1m,1.0,QLD Government,SunshineCoast_2008_LGA_SW_487000_7044000_1K_DEM_1m.tif
baroon_pocket_dam_hw_al,Baroon Pocket Dam HW AL,-26.71,152.879,217.11,1m,1.0,QLD Government,SunshineCoast_2008_LGA_SW_487000_7045000_1K_DEM_1m.tif
barraba_clifton_lane,Barraba (Clifton Lane),-30.378,150.61,500.59,5m,5.0,NSW Government,Cobbadah201210-PHO3-AHD_2706636_56_0002_0002_5m.tif
barraba_mount_lindsay,Barraba (Mount Lindsay),-30.3209,150.2734,889.99,5m,5.0,NSW Government,Horton201209-PHO3-AHD_2366642_56_0002_0002_5m.tif
barrack_st,Barrack St,-31.96,115.857,1.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
barradeen_al,Barradeen AL,-26.0419,146.4292,348.06,1m,1.0,QLD Government,WarregoRivGowrieStation_2013_Prj_SW_442000_7119000_1K_DEM_1m.tif
barratt_creek_tm,Barratt Creek Tm,-16.2626,145.3371,2.31,1m,1.0,QLD Government,Cairns_2010_Prj_SW_322000_8201000_1K_DEM_1m.tif
barrengarry_the_old_school_house,Barrengarry (The Old School House),-34.688,150.53,90.9,1m,1.0,NSW Government,Kiama201610-LID1-AHD_2726158_56_0002_0002_1m.tif
barrington_bonnie_doon_salisbury,Barrington (Bonnie Doon Salisbury),-32.16447,151.53662,313.6,2m,2.0,NSW Government,Dungog201805-LID2-AHD_3626440_56_0002_0002_2m.tif
barta_park_tm,Barta Park Tm,-27.0711,147.8653,357.04,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
barton_isis_river,Barton (Isis River),-41.862,147.245,164.4,1m,1.0,TAS Government,NorthernMidlands2019-DEM-1m_5205365_GDA2020_55.tif
barwon_river_at_pollocksford,Barwon River at Pollocksford,-38.144,144.187,29.51,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
barwon_river_at_ricketts_marsh,Barwon River at Ricketts Marsh,-38.304,143.836,104.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
basalt_ck_al,Basalt Creek AL,-24.6325,148.8711,348.71,50cm,0.5,Griffith Uni,Emerald201803-DEM-GRID-50cm_6897274_55_0001_0001.tif
basalt_river_gregor,Basalt River (Gregor,-19.6306,145.7734,295.86,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
batlow_post_office,Batlow Post Office,-35.52,148.145,786.59,1m,1.0,NSW Government,Yarrangobilly201312-LID1-AHD_6026068_55_0002_0002_1m.tif
battery_ck_tm,Battery Ck Tm,-19.4375,145.8611,296.11,50cm,0.5,Griffith Uni,ChartersTowers201804-DEM-GRID-50cm_3807850_55_0001_0001.tif
bauhinia_downs_al,Bauhinia Downs AL,-24.5617,149.2853,209.86,1m,1.0,QLD Government,Bauhinia_2012_Twn_SW_731000_7281000_1K_DEM_1m.tif
baulkham_hills_eucalyptus_ct,Baulkham Hills Eucalyptus Ct,-33.766,150.982,98.39,1m,1.0,NSW Government,Penrith201906-LID1-AHD_3126260_56_0002_0002_1m.tif
baulkham_hills_swimming_pool,Baulkham Hills (Swimming Pool),-33.744,150.992,95.19,1m,1.0,NSW Government,Penrith202006-LID1-AHD_3126264_56_0002_0002_1m.tif
bawnduggie_al,Bawnduggie AL,-26.16,150.8392,369.41,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
bayes_rd_al,Bayes Rd AL,-27.698,153.107,7.54,1m,1.0,QLD Government,Logan_2013_LGA_SW_510000_6936000_1K_DEM_1m.tif
beachmere_al,Beachmere AL,-27.137,153.05,1.02,1m,1.0,QLD Government,MoretonBay_2009_LGA_SW_504000_6998000_1K_DEM_1m.tif
beachmere_riversleigh_rd_al,Beachmere (Riversleigh Rd) AL,-27.104,153.007,1.26,1m,1.0,QLD Government,MoretonBay_2014_LGA_SW_500000_7002000_1K_DEM_1m.tif
beachmere_st_smith_rd_al,Beachmere (St Smith Rd) AL,-27.146,153.036,0.53,1m,1.0,QLD Government,MoretonBay_2009_LGA_SW_503000_6997000_1K_DEM_1m.tif
beaconsfield_golflinks_al,Beaconsfield Golflinks AL,-21.0892,149.1658,3.21,1m,1.0,QLD Government,Mackay_2009_Rgn_SW_724000_7666000_2K_DEM_1m.tif
beatty_rd_al,Beatty Rd AL,-27.587,153.009,10.92,1m,1.0,QLD Government,Brisbane_2014_LGA_SW_500000_6948000_1K_DEM_1m.tif
beaumont,Beaumont,-34.954,138.658,214.44,1m,1.0,SA Government,AdelaideMetro2018_DEM_2856125_05_001.tif
bedford_downs_airstrip,Bedford Downs Airstrip,-17.28,127.465,528.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
bedford_weir_tw_aler,Bedford Weir AL,-23.3739,148.8408,131.01,50cm,0.5,Griffith Uni,Emerald201803-DEM-GRID-50cm_6887413_55_0001_0001.tif
bedourie,Bedourie,-24.3597,139.4714,91.59,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
beechmont_al,Beechmont AL,-28.135,153.189,575.34,1m,1.0,QLD Government,ScenicRim_2011_LGA_SW_518000_6887000_1K_DEM_1m.tif
beerwah_al,Beerwah AL,-26.8664,152.9617,23.56,1m,1.0,QLD Government,SunshineCoast_2014_LGA_SW_496000_7028000_1K_DEM_1m.tif
bega_rd_quarry_al,Bega Rd Quarry AL,-27.667,153.117,10.95,1m,1.0,QLD Government,Logan_2013_LGA_SW_511000_6939000_1K_DEM_1m.tif
belair,Belair,-35.009,138.679,474.97,50cm,0.5,SA Government,AdelaideMetro2022-DEM-GRID-50cm_2886123_54_0001_0001.tif
bellalie_tm,Bellalie Tm,-27.0191,142.9404,150.1,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
bellbird_park_eugene_st_al,Bellbird Park (Eugene St) AL,-27.633,152.906,14.46,1m,1.0,QLD Government,Ipswich_2023_LGA_SW_490000_6943000_1k_DEM_1m.tif
bellendaine,Bellendaine,-29.288,115.631,215.06,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
bellevue_bay_al,Bellevue Bay AL,-27.346,152.529,84.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
bellevue_heights,Bellevue Heights,-35.032,138.588,207.29,1m,1.0,SA Government,AdelaideMetro2018_DEM_2756120_05_001.tif
bellingen_bellinger,Bellingen (Bellinger River),-30.4517,152.8983,12.11,50cm,0.5,NSW Gov,Bellinger2024-DEM-AHD-50cm_487404m6621624m_56_0018km_0013km.tif
bellingen_crystal_creek,Bellingen (Crystal Creek),-30.348,152.902,106.25,2m,2.0,NSW Government,Dorrigo201801-LID2-AHD_4906642_56_0002_0002_2m.tif
bellmere_bellmere_rd_tm,Bellmere (Bellmere Rd) TM,-27.0822,152.9305,13.73,1m,1.0,QLD Government,MoretonBay_2009_LGA_SW_493000_7004000_1K_DEM_1m.tif
bells_ck_north_al,Bells Ck North AL,-26.815,153.08,2.66,1m,1.0,QLD Government,Sunshine_Coast_2022_LGA_SW_507000_7034000_1k_DEM_1m.tif
bells_ck_south_al,Bells Ck South AL,-26.832,153.073,1.97,1m,1.0,QLD Government,Sunshine_Coast_2022_LGA_SW_507000_7032000_1k_DEM_1m.tif
bells_creek_al,Bells Creek AL,-21.4051,149.2297,8.16,1m,1.0,QLD Government,Mackay_2009_Rgn_SW_730000_7630000_2K_DEM_1m.tif
belmont_wwtp,Belmont WWTW,-33.0464,151.6711,7.72,1m,1.0,NSW Government,LakeMacquarie201409-LID1-AHD_3746342_56_0002_0002_1m.tif
belowra_belowra_sta,Belowra (ERTS),-36.1975,149.7067,186.55,2m,2.0,NSW Government,Cobargo201804-LID2-AHD_7425990_55_0002_0002_2m.tif
bemboka_the_knob,Bemboka (The Knob),-36.663,149.514,323.94,2m,2.0,NSW Government,Bega201804-LID2-AHD_7245938_55_0002_0002_2m.tif
bemm_river_at_princes_hwy,Bemm River at Princes HWY,-37.6065,148.9017,69.23,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
ben_bullen_clearview,Ben Bullen (Clearview),-33.225,150.017,940.52,2m,2.0,NSW Government,Bathurst201510-LID2-AHD_7806318_55_0002_0002_2m.tif
ben_lomond_beulah,Ben Lomond (Beulah),-29.9594,151.605,1468.87,5m,5.0,NSW Government,GlenInnes201712-PHO3-AHD_3646684_56_0002_0002_5m.tif
ben_nevis,Ben Nevis,-37.228,143.201,856.87,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
benaraby_al,Benaraby AL,-24.028,151.339,4.36,1m,1.0,QLD Government,Gladstone_2009_Rgn_SW_330000_7340000_2K_DEM_1m.tif
bendemeer_bonna,Bendemeer (Bonna),-30.883,151.162,861.67,5m,5.0,NSW Government,Bendemeer201111-PHO3-AHD_3246580_56_0002_0002_5m.tif
bendethera,Bendethera,-35.95,149.75,330.17,2m,2.0,NSW Government,Araluen201804-LID2-AHD_7486018_55_0002_0002_2m.tif
bendoba_tm,Bendoba TM,-25.96,148.3867,445.67,50cm,0.5,Griffith Uni,Roma201810-DEM-GRID-50cm_6387128_55_0001_0001.tif
bennetts_road_coffs_harbour,Bennetts Road (Coffs Harbour),-30.287,153.08,23.16,1m,1.0,NSW Government,CoffsHarbour201309-LID1-AHD_5066648_56_0002_0002_1m.tif
berring,Berring,-31.304,116.902,256.17,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
berrys_lagoon_al,Berrys Lagoon AL,-27.6422,152.7431,21.59,1m,1.0,QLD Government,Ipswich_2014_LGA_SW_474000_6942000_1K_DEM_1m.tif
berrys_lagoon_al_b,Berrys Lagoon AL-B,-27.644,152.745,21.36,1m,1.0,QLD Government,Ipswich_2014_LGA_SW_474000_6942000_1K_DEM_1m.tif
betanga_al,Betanga AL,-23.6889,146.3425,489.99,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
bettowynd_condry,Bettowynd (Condry),-35.7011,149.7896,154.12,2m,2.0,NSW Government,Araluen201804-LID2-AHD_7526044_55_0002_0002_2m.tif
bettowynd_nobbys_hill,Bettowynd (Nobbys Hill),-35.756,149.815,240.91,2m,2.0,NSW Government,Araluen201804-LID2-AHD_7546038_55_0002_0002_2m.tif
