id,name,lat,lon,elvis_ahd_m,dem_resolution,dem_resolution_m,source,dataset
the_pines,The Pines,-13.758,131.574,99.9,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
the_summit_alert,The Summit AL,-27.4636,152.9472,269.78,1m,1.0,QLD Government,Brisbane_2014_LGA_SW_494000_6962000_1K_DEM_1m.tif
theresa_hut_al,Theresa Hut AL,-23.386,147.266,645.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
thomson_brook,Thomson Brook,-33.6442,115.9586,265.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
thomson_river_at_bundalaguah,Thomson River at Bundalaguah,-38.047,146.991,17.03,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
thomson_river_at_coopers_creek,Thomson River at Coopers Creek,-37.983,146.433,363.72,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
thomson_river_at_sale_wharf,Thomson River at Sale Wharf,-38.1144,147.0606,3.99,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
thomson_river_at_the_narrows,Thomson River at the Narrows,-37.891,146.403,272.03,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
thomson_river_at_wandocka,Thomson River at Wandocka,-38.0117,146.88,26.36,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
thomson_river_d_s_of_thomson_dam,Thomson River D/S Of Thomson Dam,-37.85,146.403,297.44,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
thomson_river_d_s_whitelaws_creek,Thomson River D/S Whitelaws Creek,-37.711,146.282,492.24,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
thomson_river_u_s_cowwarr_weir,Thomson River U/S Cowwarr Weir,-37.976,146.624,123.35,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
thomson_yarra_divide,Thomson-Yarra Divide,-37.756,146.162,1005.05,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
thora_bellinger_riv,Thora (Bellinger River),-30.425,152.7806,27.91,2m,2.0,NSW Government,Dorrigo201801-LID2-AHD_4786634_56_0002_0002_2m.tif
thora_post_office,Thora Post Office,-30.427,152.778,53.95,1m,1.0,NSW Spatial Services,BellingerRiver_202502_LID1_AHD_1m_1km_56_4786633.tif
thornton,Thornton,-27.7956,152.3753,175.83,1m,1.0,QLD Government,LockyerValleySouth_2011_Rgn_SW_438000_6925000_1K_DEM_1m.tif
thornton_al,Thornton AL,-27.821111,152.38,175.9,1m,1.0,QLD Government,LockyerValleySouth_2011_Rgn_SW_438000_6922000_1K_DEM_1m.tif
thorntonia_tm,Thorntonia Tm,-19.503,138.9473,222.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
thorpdale_peak,Thorpdale Peak,-38.3053,146.2139,366.26,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
three_moon_ck_at_biegogo,Three Moon Ck at Biegogo,-24.562708,151.004785,340.18,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
three_rivers,Three Rivers,-25.1256,119.1514,526.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
three_ways_al,Three Ways AL,-27.445,152.826,335.44,1m,1.0,QLD Government,Brisbane_2014_LGA_SW_482000_6964000_1K_DEM_1m.tif
thumb_ck_taylors,Thumb Creek (Taylors Arm Road),-30.633,152.579,219.24,2m,2.0,NSW Government,Macksville201707-LID2-AHD_4586610_56_0002_0002_2m.tif
thylungra_al,Thylungra Al,-26.0957,143.4404,167.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
tia_highrent,Tia (Highrent),-31.192,151.856,1141.66,5m,5.0,NSW Government,Yarrowitch201211-PHO3-AHD_3906548_56_0002_0002_5m.tif
tibradden,Tibradden,-28.76,114.937,260.06,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
tidal_ck_al,Tidal Ck AL,-24.69771,152.23922,1.11,1m,1.0,QLD Government,Bundaberg_2011_Rgn_SW_423000_7268000_1K_DEM_1m.tif
tieri_al,Tieri AL,-23.046,148.369,260.27,50cm,0.5,Griffith Uni,Emerald201305-DEM-GRID-50cm_6407450_55_0001_0001.tif
timbarra_river_d_s_wilkinson_creek,Timbarra River d/s Wilkinson Creek,-37.4447,148.0637,202.06,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
tinderry_mountains_simons_ck,Tinderry Mountains (Simons Ck),-35.75,149.283,1307.57,2m,2.0,NSW Government,Michelago201803-LID2-AHD_7066040_55_0002_0002_2m.tif
tinderry_queanbeyan_river,Tinderry (Queanbeyan River),-35.617,149.35,815.7,2m,2.0,NSW Government,Michelago201803-LID2-AHD_7126054_55_0002_0002_2m.tif
tingha_post_office,Tingha Post Office,-29.955,151.211,784.38,5m,5.0,NSW Government,Inverell201110-PHO3-AHD_3266684_56_0002_0002_5m.tif
tirranna_springs_crossing_qra,Tirranna Springs Crossing (QRA),-17.891609,139.287044,6.97,50cm,0.5,QLD Government,Burketown_2024_Prj_SW_318000_8020000_1k_DEM_50cm.tif
tomewin_al,Tomewin AL,-28.241,153.378,314.16,1m,1.0,QLD Government,GoldCoast_2014_LGA_SW_537000_6876000_1K_DEM_1m.tif
toodyay_east,Toodyay East,-31.55,116.487,149.88,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
toohills_crossing_al,Toohills Crossing AL,-27.9753,152.5231,111.51,1m,1.0,QLD Government,ScenicRim_2011_LGA_SW_453000_6905000_1K_DEM_1m.tif
toombul_nudgee_rd_al_b,Toombul (Nudgee Rd) AL-B,-27.407,153.074,-0.66,1m,1.0,QLD Government,Brisbane_2019_Prj_SW_507000_6968000_1k_DEM_1m.tif
tooms_lake,Tooms Lake,-42.213,147.783,464.53,1m,1.0,TAS Government,EastCoast2014-DEM-1m_5645326_55.tif
toomulla_al,Toomulla AL,-19.0756,146.4694,5.76,1m,1.0,QLD Government,Townsville_2009_Ctl_SW_444000_7890000_1K_DEM_1m.tif
toongabbie_bowling_club,Toongabbie Bowling Club,-33.784,150.952,28.27,1m,1.0,NSW Government,Penrith201906-LID1-AHD_3106258_56_0002_0002_1m.tif
toorbul_donnybrook_rd_al,Toorbul (Donnybrook Rd) AL,-27.031,153.04,1.99,1m,1.0,QLD Government,MoretonBay_2014_LGA_SW_503000_7010000_1K_DEM_1m.tif
toormina_coffs_harbour,Toormina (Coffs Harbour),-30.352,153.076,50.84,1m,1.0,NSW Government,CoffsHarbour201309-LID1-AHD_5066642_56_0002_0002_1m.tif
toowong_al,Toowong AL,-27.481944,152.978333,42.85,1m,1.0,QLD Government,Brisbane_2009_LGA_SW_497000_6960000_1K_DEM_1m.tif
toowoomba_al,Toowoomba AL,-27.511389,151.953611,694.21,1m,1.0,QLD Government,LockyerValleyNorth_2010_Rgn_SW_396000_6956000_1K_DEM_1m.tif
top_of_brisbane_al,Top of Brisbane AL,-26.477222,152.156667,438.24,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
