SITE_ID,LATITUDE,LONGITUDE,NAME,STATE,LICENSING_AREA_ID,POSTCODE,SITE_PRECISION,ELEVATION,HCIS_L2,_NEAREST_ANCHOR_ID,_NEAREST_ANCHOR_NAME,_DISTANCE_KM
10000265,-24.182717,151.236237,"Telstra Radio Tower Lake Awoonga, 4km north of Boynedale",QLD,4,,Within 10 metres,,NS7A,kroombit_repeater_al,Kroombit Repeater AL,35.715
10000390,-27.542505,153.073407,Mount Gravatt Outlook Mount Gravatt Outlook Drive Mount Gravatt,QLD,2,,Within 10 metres,,NT9I,constitution_hill,Constitution Hill,13.674
10000420,-19.878417,146.633056,QR Site Hervey Street MINGELA,QLD,4,,Within 10 metres,,LR2O,mingela_al,Mingela AL,0.104
10000570,-31.457495,152.72804,69 High Street WAUCHOPE,NSW,4,,Within 10 metres,,NV2G,port_macquarie_golf,Port Macquarie (Golf,18.085
10000571,-31.436696,152.897726,19-33 Morton Street PORT MACQUARIE,NSW,4,,Within 10 metres,,NV2H,port_macquarie_golf,Port Macquarie (Golf,5.583
10000687,-31.444239,152.893401,Port Macquarie Fire Station 5 Central Road Port Macquarie,NSW,4,,Within 10 metres,,NV2H,port_macquarie_golf,Port Macquarie (Golf,4.958
10000779,-28.167718,153.549191,VRA Site Point Danger Tweed Heads,NSW,2,,Within 10 metres,,NU3C,laheys_lookout_al,Laheys Lookout AL,40.665
10000782,-28.235179,153.288503,CommSite Bilbrough Lookout Springbrook,QLD,2,,Within 10 metres,,NU3B,o_reillys_al,OReillys AL,14.985
10001219,-18.200681,145.944401,QAS Site Lemon Tree Hill via KENNEDY,QLD,4,,Within 10 metres,,LQ7D,bilyana_al,Bilyana AL,11.607
10002303,-27.81038,153.3146,104 Swan Rd PIMPAMA,QLD,2,,Within 10 metres,,NT9N,tamborine_al,Tamborine AL,19.962
10002955,-27.222669,151.116752,Myola Kupunn Rd NANDI,QLD,4,,Within 10 metres,,NT7A,braziers_hill_al,Braziers Hill AL,55.239
10002956,-27.274661,151.289491,743 Dalby-Cecil Plains Rd CECIL PLAINS,QLD,4,,Within 10 metres,,NT7F,mt_mowbullan_rptr,Mt MOWBULLAN RPTR,52.862
10002957,-27.104699,151.030027,960 Dalby-Kogan Rd MACALISTER,QLD,4,,Within 10 metres,,NT7A,braziers_hill_al,Braziers Hill AL,43.314
10003450,-31.445,152.477,BOM Site Via Oxley Highway Long Flat,NSW,4,,Within 100 metres,,NV2F,port_macquarie_golf,Port Macquarie (Golf,41.876
10003451,-31.664,152.3705,BOM Site 320 The Den Road Mooral Creek,NSW,4,,Within 100 metres,,NV2J,port_macquarie_golf,Port Macquarie (Golf,55.411
10003452,-31.4621,152.3245,BOM Site Yarras Mountain,NSW,4,,Within 100 metres,,NV2F,port_macquarie_golf,Port Macquarie (Golf,56.16
10004033,-28.797778,151.830278,BOM Site Ballandean Hill  via Bents Road Ballandean,QLD,4,,Within 100 metres,,NU1P,ballandean_al,Ballandean AL,1.766
10004034,-28.606111,151.8175,BOM Site Amiens Knob 71 Minuti Lane Amiens,QLD,4,,Within 100 metres,,NU1L,amiens_knob_al,Amiens Knob AL,0.001
10004035,-28.101389,151.876667,BOM Site via Yankee Gully Road Bony Mountain,QLD,4,,Within 10 metres,,NU1D,bony_mountain_al,Bony Mountain AL,0.003
10004036,-28.226667,151.489167,"BOM Site Warahgai via Rabbit Fence Road, 8 km West of Karara",QLD,4,,Within 100 metres,,NU1B,warahgai_al,Warahgai AL,0.026
10004934,-26.950693,150.474926,QCG/Veoloa Water Treatment Facility Vanrenes Rd 8.6km SSW of CROSSROADS,QLD,5,,Within 10 metres,,MT6N,bottle_tree_al,Bottle Tree AL,17.284
10004936,-28.028022,153.428653,Gold Coast Convention and Exhibition Centre 2684-2690 Gold Coast Hwy Broadbeach,QLD,2,,Within 10 metres,,NU3B,laheys_lookout_al,Laheys Lookout AL,24.406
10005203,-26.816577,153.171902,AtoN Beacon 15km SSE of Point Cartwright,QLD,4,,Within 10 metres,,NT6M,bald_knob_al,Bald Knob AL,25.811
10005409,-22.470452,148.450536,South Site Lake Vermont Mine 16.7km NNE of DYSART,QLD,4,,Within 10 metres,,MS1F,mt_lowe_al,Mt Lowe AL,57.335
10005605,-27.57918,151.98751,Council Reservoir Picnic Point Tourist Drive Picnic Point,QLD,4,,Within 10 metres,,NT7L,paradise_ck_rd,Paradise Ck Rd AL,16.564
10005678,-25.310828,152.832031,BAI Tower Regency Avenue HERVEY BAY,QLD,4,,Within 10 metres,,NT2H,ghost_hill_al,Ghost Hill AL,0.014
10006071,-27.384722,153.175528,Port Of Brisbane Office 3 Port Central Av Port Of Brisbane,QLD,2,,Within 10 metres,,NT9E,constitution_hill,Constitution Hill,24.262
10006339,-24.397889,150.508458,Broadcast site 3A Murchison St BILOELA,QLD,4,,Within 10 metres,,MS9G,banana_range_al,Banana Range AL,20.324
10006890,-22.429318,148.407057,North Site Lake Vermont Mine 19.3km NNE of DYSART,QLD,4,,Within 10 metres,,MS1F,mt_lowe_al,Mt Lowe AL,59.119
10007968,-25.191781,151.687783,Scrub Road Mt Perry,QLD,4,,Within 10 metres,,NT1C,mt_gayndah_al,Mt Gayndah AL,48.277
10007970,-24.14221,148.154055,Ergon Energy Site Roddas Lookout SPRINGSURE,QLD,5,,Within 10 metres,,MS7A,roddas_lookout_al,Roddas Lookout AL,0.015
10007972,-24.647598,151.339105,Ergon Energy Site Mt Fort William KALPOWAR,QLD,4,,Within 10 metres,,NS7J,mt_fort_william_aler,Mt Fort William AL,0.023
10008038,-27.618217,153.311383,Australian Volunteer Coast Guard Site Redland Bay Ferry Terminal Redland Bay,QLD,2,,Within 10 metres,,NT9J,hillcrest_wine_glass,Hillcrest AL (Wine Glass),28.458
10008332,-22.501125,148.349054,Hakea (9.5km N of Dysart) SARAJI MINE,QLD,4,,Within 10 metres,,MS1J,mt_lowe_al,Mt Lowe AL,49.346
10008412,-19.662104,147.313255,Ergon Communications Site Kelly Mountain Warana Road Mount Kelly,QLD,4,,Within 10 metres,,LR3J,mt_kelly_al,Mt Kelly AL,0.053
10008649,-24.901333,152.357194,Bundaberg Fire Station 65 Wyllie Street Thabeban,QLD,4,,Within 10 metres,,NS8N,takura_reservoir_ale,Takura Resevoir AL,58.988
10008687,-27.923098,152.471461,Lot 1936 Tarome Rd TAROME,QLD,4,,Within 10 metres,,NT8N,schultz_lookout_aler,Schultz Lookout AL,31.217
10008868,-20.408147,148.578544,Fire Station 61 Hinschen Street Proserpine,QLD,4,,Within 10 metres,,MR4G,strathdickie_al,Strathdickie AL,9.124
10008887,-26.62164,152.9076,460 Nambour Mapleton Rd KUREELPA,QLD,4,,Within 10 metres,,NT5L,obi_lookout_al,Obi Lookout AL,12.493
10009026,-24.393623,148.359934,MIA Site off Dawson Hwy 27km WNW ROLLESTON,QLD,5,,Within 10 metres,,MS7F,roddas_lookout_al,Roddas Lookout AL,34.879
10009062,-16.472,145.3286,Mossman Gorge Road  (5km WSW of) MOSSMAN,QLD,4,,Within 10 metres,,LQ1F,saddle_mountain_aler,Saddle Mtn AL,52.445
10009531,-19.662221,147.31344,Russo and Vella DGPS 14 km SW of Ayr Mount Kelly,QLD,4,,Within 10 metres,,LR3J,mt_kelly_al,Mt Kelly AL,0.076
10010193,-27.75226,153.347,80 Cabbage tree point rd WOONGOOLBA,QLD,2,,Within 10 metres,,NT9N,tamborine_al,Tamborine AL,25.494
10010312,-25.321168,152.559238,Howard Emergency Services Complex Thomas Street HOWARD,QLD,4,,Within 10 metres,,NT2G,takura_reservoir_ale,Takura Resevoir AL,14.778
10012607,-19.662,147.3135,Radio Site via Mt Kelly Dr MOUNT KELLY,QLD,4,,Within 10 metres,,LR3J,mt_kelly_al,Mt Kelly AL,0.074
100129,-23.476616,148.489461,Mine Site ENSHAM MINE,QLD,4,4702,Unknown,212,MS4F,emerald_al,Emerald AL,33.467
10013217,-28.138545,151.795362,South Toolburra Farm Leyburn Cunningham Rd PRATTEN,QLD,4,,Within 10 metres,,NU1D,bony_mountain_al,Bony Mountain AL,8.983
10013776,-27.386221,151.921267,Toowoomba Regional Council lay down yard Pipeline Road COOBY DAM,QLD,4,,Within 10 metres,,NT7H,toowoomba_radar,Toowoomba Radar,14.336
10015567,-27.3636,153.1706,AIS Beacon #21 NW off Port of Brisbane Moreton Bay,QLD,2,,Within 10 metres,,NT9E,constitution_hill,Constitution Hill,24.957
10015568,-27.3612,153.171,AIS Beacon #19 NW off Port of Brisbane Moreton Bay,QLD,2,,Within 10 metres,,NT9E,constitution_hill,Constitution Hill,25.13
10015569,-27.3583,153.1729,AIS Beacon #17 NW off Port of Brisbane Moreton Bay,QLD,2,,Within 10 metres,,NT9E,constitution_hill,Constitution Hill,25.46
10015570,-27.357,153.1752,AIS Beacon #15 NW off Port of Brisbane Moreton Bay,QLD,2,,Within 10 metres,,NT9E,constitution_hill,Constitution Hill,25.729
100166,-27.396575,153.114822,Rear End JUHI Admin Bldg Hakea St BRISBANE AIRPORT,QLD,2,4009,Within 10 metres,,NT9E,constitution_hill,Constitution Hill,18.349
10017242,-28.187409,153.53953,FRNSW Lots 387 and 405 Dry Dock Road Tweed Heads,NSW,2,,Within 10 metres,,NU3C,o_reillys_al,OReillys AL,39.881
10017985,-27.629683,152.380423,SEQ Water Site Bill Gunn Dam LAIDLEY HEIGHTS,QLD,4,,Within 10 metres,,NT8J,schultz_lookout_aler,Schultz Lookout AL,5.226
10017986,-27.509611,151.955092,SEQ Water Site Shuttleworth Crt TOOWOOMBA,QLD,4,,Within 10 metres,,NT7L,paradise_ck_rd,Paradise Ck Rd AL,13.68
10017987,-26.508192,152.58317,SEQ Water Site via Yabba Creek Rd BORUMBA DAM,QLD,4,,Within 10 metres,,NT5K,coolabine_ck_aler,Coolabine Ck AL,20.783
