ANTENNA_ID,GAIN,FRONT_TO_BACK,H_BEAMWIDTH,V_BEAMWIDTH,BAND_MIN_FREQ,BAND_MIN_FREQ_UNIT,BAND_MAX_FREQ,BAND_MAX_FREQ_UNIT,ANTENNA_SIZE,ANTENNA_TYPE,MODEL,MANUFACTURER
80907,5.2,0,0,,,MHz,,MHz,0,Parallel array of vertical dipoles-A,SMD4X2,RF INDUSTRIES
80920,34.8,60,3.2,,,MHz,,MHz,0.6,Parabolic-P,VHLP2-11W,ANDREW AUSTRALIA
80946,38.4,64,2,,,MHz,,MHz,0.9,Parabolic-P,UKY 220 26/DC15,ERICSSON
80953,42,68,1.4,,,MHz,,MHz,2.4,Parabolic-P,UKY 220 13/DC12,ERICSSON
80959,2.2,0,0,,,MHz,,MHz,0.8,Dipole-D,SMD20-41,RF INDUSTRIES
80963,5.2,0,0,,,MHz,,MHz,0,Parallel array of vertical dipoles-D,IA404040-41-67,RF INDUSTRIES
80971,18.5,25,67,,,MHz,,MHz,3.67,Panel (1 sector)-R,CPX314R,ARGUS
80998,6.3,0,0,,,MHz,,MHz,5.5,Colinear Vertical-U,COL53,RF INDUSTRIES
81,5.2,0,0,,,MHz,,MHz,2,Dipole-D,595-2,AEA
81003,40.7,66,1.5,,,MHz,,MHz,1.2,Parabolic-P,VHLP4-11W,ANDREW AUSTRALIA
81084,18.2,25,60,,,MHz,,MHz,0,Panel (1 sector)-R,RV4PX310R,ARGUS
81094,40.7,66,1.5,,,MHz,,MHz,1.2,Parabolic-P,VHLPX4-11W,ANDREW AUSTRALIA
81170,16.2,25,65,,,MHz,,MHz,2.53,Panel (1 sector)-R,RVVPX310B2,ARGUS
81191,16.2,40,62,,,MHz,,MHz,0,Panel (1 sector)-R,RVVPX308.10B2,ARGUS
81193,16,25,67,,,MHz,,MHz,0,Panel (1 sector)-R,RV4PX310R(700M),ARGUS
81194,16,25,63,,,MHz,,MHz,0,Panel (1 sector)-R,R2V4PX310R(700),ARGUS
81202,16.5,25,62,,,MHz,,MHz,2.53,Panel (1 sector)-R,RVVPX310 (1.8),ARGUS
81205,16,25,67,,,MHz,,MHz,2.53,Panel (1 sector)-R,RVVPX310 (700),ARGUS
81208,18,25,60,,,MHz,,MHz,2.03,Panel (1 sector)-R,RVVPX308 (2.5),ARGUS
81209,15,25,68,,,MHz,,MHz,2.03,Panel (1 sector)-R,RVVPX308 (700),ARGUS
81210,15.5,25,67,,,MHz,,MHz,2.03,Panel (1 sector)-R,RVVPX308 (900),ARGUS
81268,16.5,25,62,,,MHz,,MHz,0,Panel (1 sector)-R,RV4PX310R(900M),ARGUS
81269,16.8,25,62,,,MHz,,MHz,0,Panel (1 sector)-R,RV4PX310R(1.8G),ARGUS
81270,17.2,25,62,,,MHz,,MHz,0,Panel (1 sector)-R,RV4PX310R(2.1G),ARGUS
81271,8,15,60,,,MHz,,MHz,3,Yagi (Horizontal Polarisation)-Y,YH03(H),RF INDUSTRIES
81285,16.2,17,33,,,MHz,,MHz,15,Yagi (Mixed Polarisation)-Y,Y415DP,ZCG SCALAR
81290,34.8,61,2.8,,,MHz,,MHz,1.2,Parabolic-P,SB4-W60A,RFS
81292,7.2,0,0,,,MHz,,MHz,0,Colinear Vertical-U,COL43-XX,RF INDUSTRIES
81300,17.2,25,62,,,MHz,,MHz,0,Panel (1 sector)-R,R2V4PX310R(2.1),ARGUS
81304,16.8,25,65,,,MHz,,MHz,0,Panel (1 sector)-R,R2V4PX310R,ARGUS
81315,17.2,30,65,,,MHz,,MHz,1.07,Panel (1 sector)-R,LLPX310R-V1,ARGUS
81345,18,25,60,,,MHz,,MHz,2.5,Panel (1 sector)-R,R2V4PX310R(2.5),ARGUS
81368,37.3,63,2.2,,,MHz,,MHz,1.2,Parabolic-P,A07D12HS,HUAWEI
81376,16,25,68,,,MHz,,MHz,2.53,Panel (1 sector)-R,RV4PX310B2(700),ARGUS
81379,16.8,25,61,,,MHz,,MHz,2.53,Panel (1 sector)-R,RV4PX310B2(1.8),ARGUS
81381,18,25,61,,,MHz,,MHz,2.53,Panel (1 sector)-R,RV4PX310B2(2.5),ARGUS
81397,6,0,0,,,MHz,,MHz,2.09,Colinear Vertical-U,COL6,MOBILE ONE
81403,15.5,25,70,,,MHz,,MHz,2.53,Panel (1 sector)-R,RPX310B1 (700),ARGUS
81404,16,25,68,,,MHz,,MHz,2.53,Panel (1 sector)-R,RPX310B1 (800),ARGUS
81408,17.2,25,58,,,MHz,,MHz,1.33,Panel (1 sector)-R,VVPX310B1 (2.5),ARGUS
81416,10.2,0,0,,,MHz,,MHz,3.3,Colinear Vertical-U,UNA010 (700),ARGUS
81417,10.7,0,0,,,MHz,,MHz,3.3,Colinear Vertical-U,UNA010 (800),ARGUS
81431,35.2,62,2.6,,,MHz,,MHz,0.9,Parabolic-P,SCX3-W71A,RFS
81434,34.4,61,2.8,,,MHz,,MHz,1.2,Parabolic-P,SBX4-W60C,RFS
81438,40.1,66,1.5,,,MHz,,MHz,1.2,Parabolic-P,SB4-W100C,RFS
81446,36.3,62,2.8,,,MHz,,MHz,,Parabolic-P,HAE1306,LEAX AKRIVATOR TELECOM
81504,30.9,57,4.2,,,MHz,,MHz,0.6,Parabolic-P,VHLP2-71W,ANDREW AUSTRALIA
81509,5.2,0,0,,,MHz,,MHz,0,Parallel array of vertical dipoles-D,02680S2,BENELEC
81515,40.6,67,1.5,,,MHz,,MHz,1.8,Parabolic-P,SBX6-W71C,RFS
81517,40.6,67,1.5,,,MHz,,MHz,1.8,Parabolic-P,SB6-W71C,RFS
81524,2.2,0,0,,,MHz,,MHz,2.2,Colinear Vertical-U,COL51-160,RF INDUSTRIES
81544,39.4,65,1.7,,,MHz,,MHz,1.8,Parabolic-P,A06D18HS,HUAWEI
81546,38.9,67,2.1,,,MHz,,MHz,0.6,Parabolic-P,A18D06HS,HUAWEI
81596,33.2,60,3,,,MHz,,MHz,0.9,Parabolic-P,SCX3-W60A,RFS
816,44,80,1,,,MHz,,MHz,1.8,Parabolic-P,11.0G,NOTIONAL
81609,35.6,62,3.3,,,MHz,,MHz,1.2,Parabolic-P,A06D12HS,HUAWEI
81621,35.2,61,3.1,,,MHz,,MHz,0.6,Parabolic-P,HAE1106_00,LEAX AKRIVATOR TELECOM
82,8.2,0,0,,,MHz,,MHz,4,Dipole-D,616-4,AEA
84,11.2,15,40,,,MHz,,MHz,0,Yagi (Horizontal Polarisation)-Y,579(H),AEA
84038,5,9,161,,,MHz,,MHz,2,Yagi (Vertical Polarisation)-Y,YB02-99 (V),RF INDUSTRIES
84068,8.2,0,360,,,MHz,,MHz,0,Parallel array of vertical dipoles-A,02681Z4,BENELEC
84071,16,27,67,,,MHz,,MHz,2.7,Panel (1 sector)-R,APE4517R0 (700),HUAWEI
84072,16.7,27,62,,,MHz,,MHz,2.7,Panel (1 sector)-R,APE4517R0 (900),HUAWEI
84073,17,28,63,,,MHz,,MHz,2.7,Panel (1 sector)-R,APE4517R0 (1.8),HUAWEI
84078,20.1,33,34,,,MHz,,MHz,1.08,Panel (1 sector)-R,LLPX210R-V1,ARGUS
84085,5.2,0,360,,,MHz,,MHz,0,Dipole-D,FG4063,LAIRD TECHNOLOGIES
84088,41.5,68,1.4,,,MHz,,MHz,2.4,Parabolic-P,DA8-W57A,RFS
84090,19.6,30,33,,,MHz,,MHz,0.8,Panel (1 sector)-R,AW3497,ALPHA WIRELESS
84120,39.4,65,1.7,,,MHz,,MHz,1.8,Parabolic-P,SB6-W60B,RFS
84136,5.2,0,360,,,MHz,,MHz,3.3,Colinear Vertical-U,CLV3,ZCG SCALAR
84186,3.85,0,0,,,MHz,,MHz,0.8,Ground Independent Antenna-U,CD29,RF INDUSTRIES
844,2.2,0,0,,,MHz,,MHz,0,Coaxial Dipole-D,BA1010,CELWAVE
848,4.5,0,0,,,MHz,,MHz,0,Colinear Vertical-U,PD344,CELWAVE
90528,16.5,28,65,,,MHz,,MHz,,Panel(1sector),TQBM-D609017/Q172717DER_1.8,TONGYU
90626,2.15,0,360,,,MHz,,MHz,,CoaxialDipole,1012,SAAB
90707,13,18,48,,,MHz,,MHz,,Yagi (vertical polarisation),YB9-99(V),RF Industries
90737,35.8,61,2.7,,,MHz,,MHz,,Parabolic,HAE0612,LEAX AKRIVATOR TELECOM
