LICENCE_NO,CLIENT_NO,SV_ID,SS_ID,LICENCE_TYPE_NAME,LICENCE_CATEGORY_NAME,DATE_ISSUED,DATE_OF_EFFECT,DATE_OF_EXPIRY,STATUS,STATUS_TEXT,AP_ID,AP_PRJ_IDENT,SHIP_NAME,BSL_NO,AWL_TYPE
11163251/1,439072,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-17,2026-03-17,2027-03-23,1,Granted,11163288,20038343_LMS_RCS389_6,,,
11163256/1,439072,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-17,2026-03-17,2027-03-23,1,Granted,11163290,20038343_LMS_RCS389_7,,,
11163258/1,439072,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-17,2026-03-17,2027-03-23,1,Granted,11163292,20038343_LMS_RCS389_8,,,
11163260/1,439072,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-17,2026-03-17,2027-03-23,1,Granted,11163293,20038343_LMS_RCS389_9,,,
11163262/3,439082,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-17,2026-03-17,2027-03-23,1,Granted,11274516,20011258_RCS400_27_vary,,,
11163266/1,439072,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-17,2026-03-17,2027-03-23,1,Granted,11163295,20038343_LMS_RCS389_11,,,
11163267/1,439072,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-17,2026-03-17,2027-03-23,1,Granted,11163296,20038343_LMS_RCS389_12,,,
11163268/1,439072,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-17,2026-03-17,2027-03-23,1,Granted,11163297,20038343_LMS_RCS389_13,,,
11163269/1,439072,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-17,2026-03-17,2027-03-23,1,Granted,11163298,20038343_LMS_RCS389_14,,,
11165505/1,435100,2,200,Fixed,Point to Multipoint,2025-09-12,2025-09-12,2026-09-23,1,Granted,11165717,1148302_App_Sub_006134,,,
11181841/3,20062681,2,203,Fixed,Point to Point,2026-06-07,2026-06-07,2027-07-17,1,Granted,13020613,20038343_vary_400MHz_P2P_GD809_3,,,
11183726/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11183737,20025735_200559_04_of_05,,,
11183727/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11183738,20025735_200559_05_of_05,,,
11188150/1,20046267,2,201,Fixed,Point to Multipoint - Land Mobile Spec,2026-01-28,2026-01-28,2027-02-25,1,Granted,11188251,20006728_SafeGroup_ptmpt_VHF_50_210121,,,
11194947/1,20060946,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-08-31,2025-08-31,2026-10-10,1,Granted,11195835,20016317_JSMFAC7696,,,
11204122,20002360,85,860,Spectrum,AWL - FSS Only,2026-06-22,2026-03-10,2031-03-14,1,Granted,,,,,
11210917,8129031,85,859,Spectrum,AWL - Standard,2026-03-25,2026-03-25,2031-03-24,1,Granted,,,,,AWL_26/28_GHz
11221519/1,20036601,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-01-23,2026-01-23,2027-02-02,1,Granted,11224132,1130096_SC1030A,,,
11221576/1,20036601,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-01-23,2026-01-23,2027-02-02,1,Granted,11224133,1130096_SC1030B,,,
11228696/1,74734,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-07-13,2026-07-13,2027-07-10,1,Granted,11229155,20016317_JSMFAC7895,,,
11229908/1,1147832,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-29,2026-04-29,2027-05-06,1,Granted,11230109,20038343_LMS_RCS396_3,,,
11229909/1,1147832,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-29,2026-04-29,2027-05-06,1,Granted,11230110,20038343_LMS_RCS396_4,,,
11233128/3,59235,6,602,Amateur,Amateur Repeater,2026-04-07,2026-04-07,2027-04-06,1,Granted,12890280,20029952_VK4RME_3,,,
11244554/1,50967,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-20,2026-03-20,2027-04-29,1,Granted,11244624,20025735_210131,,,
11261595/1,20047564,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-05-08,2026-05-08,2027-05-25,1,Granted,11261833,20011258_RCS399,,,
11264478/1,1147602,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-06-07,2026-06-07,2027-07-17,1,Granted,11264598,1148302_App_Sub_006899,,,
11264479/1,1147602,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-06-07,2026-06-07,2027-07-17,1,Granted,11264599,1148302_App_Sub_006899,,,
11264480/1,1147602,5,501,Maritime Coast,Limited Coast Assigned System,2026-06-07,2026-06-07,2027-07-17,1,Granted,11264600,1148302_App_Sub_006900,,,
11264481/1,1147602,5,501,Maritime Coast,Limited Coast Assigned System,2026-06-07,2026-06-07,2027-07-17,1,Granted,11264601,1148302_App_Sub_006900,,,
11264482/1,1147602,5,501,Maritime Coast,Limited Coast Assigned System,2026-06-07,2026-06-07,2027-07-17,1,Granted,11264602,1148302_App_Sub_006900,,,
11265645/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11265707,20025735_210210_01_of_12,,,
11265646/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11265708,20025735_210210_02_of_12,,,
11265647/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11265709,20025735_210210_03_of_12,,,
11265648/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11265710,20025735_210210_04_of_12,,,
11265649/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11265711,20025735_210210_05_of_12,,,
11265651/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11265713,20025735_210210_06_of_12,,,
11265652/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11265714,20025735_210210_07_of_12,,,
11265653/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11265715,20025735_210210_08_of_12,,,
11265654/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11265716,20025735_210210_09_of_12,,,
11265655/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11265717,20025735_210210_10_of_12,,,
11265657/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11265719,20025735_210210_12_of_12,,,
11268156/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11268964,20025735_210210_01_of_18,,,
11268275/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11268967,20025735_210210_02_of_18,,,
11268276/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11268968,20025735_210210_03_of_18,,,
11268280/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11268970,20025735_210210_04_of_18,,,
11268294/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11268971,20025735_210210_05_of_18,,,
11268295/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11268972,20025735_210210_06_of_18,,,
11268309/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11268974,20025735_210210_07_of_18,,,
11268317/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11268977,20025735_210210_08_of_18,,,
11268318/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11268979,20025735_210210_09_of_18,,,
11268319/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11268980,20025735_210210_10_of_18,,,
11268321/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11268984,20025735_210210_11_of_18,,,
11268322/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11268985,20025735_210210_12_of_18,,,
11268328/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11268989,20025735_210210_16_of_18,,,
11268329/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11268990,20025735_210210_17_of_18,,,
11268331/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11268992,20025735_210210_18_of_18,,,
11270098/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11270194,20025735_210210_01_of_07,,,
11270099/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11270195,20025735_210210_02_of_07,,,
11270119/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11270197,20025735_210210_04_of_07,,,
11270120/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11270198,20025735_210210_05_of_07,,,
11270157/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11270199,20025735_210210_06_of_07,,,
11270158/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11270200,20025735_210210_07_of_07,,,
11274096/2,439082,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-17,2026-03-17,2027-03-23,1,Granted,11648848,1130096_RD382AR,,,
11274156/2,439082,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-17,2026-03-17,2027-03-23,1,Granted,11648841,1130096_RD382AM,,,
11274157/2,439082,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-17,2026-03-17,2027-03-23,1,Granted,11648840,1130096_RD382AL,,,
11274158/2,439082,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-17,2026-03-17,2027-03-23,1,Granted,11648842,1130096_RD382AN,,,
11274159/2,439082,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-17,2026-03-17,2027-03-23,1,Granted,11648843,1130096_RD382AO,,,
11274160/2,439082,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-17,2026-03-17,2027-03-23,1,Granted,11648845,1130096_RD382AP,,,
11274161/2,439082,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-17,2026-03-17,2027-03-23,1,Granted,11648846,1130096_RD382AQ,,,
11274165/1,439082,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-17,2026-03-17,2027-03-23,1,Granted,11274492,20011258_RCS400_21_new,,,
11274174/1,439082,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-17,2026-03-17,2027-03-23,1,Granted,11274505,20011258_RCS400_22_new,,,
11274175/1,439082,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-17,2026-03-17,2027-03-23,1,Granted,11274507,20011258_RCS400_23_new,,,
11274176/1,439082,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-17,2026-03-17,2027-03-23,1,Granted,11274511,20011258_RCS400_25_new,,,
11274179/1,439082,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-17,2026-03-17,2027-03-23,1,Granted,11274515,20011258_RCS400_26_new,,,
11274185/1,439082,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-17,2026-03-17,2027-03-23,1,Granted,11274527,20011258_RCS400_27_new,,,
11274186/1,439082,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-17,2026-03-17,2027-03-23,1,Granted,11274528,20011258_RCS400_28_new,,,
11274187/1,439082,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-17,2026-03-17,2027-03-23,1,Granted,11274529,20011258_RCS400_29_new,,,
11274189/1,439082,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-17,2026-03-17,2027-03-23,1,Granted,11274530,20011258_RCS400_31_new,,,
11274190/1,439082,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-17,2026-03-17,2027-03-23,1,Granted,11274531,20011258_RCS400_32_new,,,
11274191/1,439082,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-17,2026-03-17,2027-03-23,1,Granted,11274532,20011258_RCS400_33_new,,,
11274192/1,439082,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-17,2026-03-17,2027-03-23,1,Granted,11274533,20011258_RCS400_34_new,,,
11274193/1,439082,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-17,2026-03-17,2027-03-23,1,Granted,11274534,20011258_RCS400_35_new,,,
11274194/1,439082,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-17,2026-03-17,2027-03-23,1,Granted,11274535,20011258_RCS400_36_new,,,
11274458/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11274607,20025735_210210_11_of_12_resub,,,
11274460/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11274609,20025735_210210_03_of_07_resub,,,
11274461/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11274610,20025735_210210_13_of_18_resub,,,
11274462/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11274611,20025735_210210_14_of_18_resub,,,
11274465/1,20046011,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-10-14,1,Granted,11274613,20025735_210210_15_of_18_resub,,,
11280974/1,46975,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-08-17,2026-08-17,2027-09-19,1,Granted,11281275,20034122_2021_07_01_RG_New_Land_Mobile_System_Townsville_Training_Area_1_Resubmit,,,
11280975/1,46975,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-08-17,2026-08-17,2027-09-19,1,Granted,11281276,20034122_2021_07_01_RG_New_Land_Mobile_System_Townsville_Training_Area_2_Resubmit,,,
11282852/1,20029474,2,203,Fixed,Point to Point,2025-07-17,2025-07-17,2026-07-05,10,Expired,11283455,20016317_JSMFAC8318,,,
11283419/1,20017363,2,203,Fixed,Point to Point,2026-05-28,2026-05-28,2027-07-06,1,Granted,11284910,20029601_APP_OP-00332-00333,,,
11283420/1,20017363,2,203,Fixed,Point to Point,2026-05-28,2026-05-28,2027-07-06,1,Granted,11284911,20029601_APP_OP-00332-00333,,,
11286123,1103276,85,861,Spectrum,3.4 GHz Band,2023-12-21,2023-08-03,2030-12-13,1,Granted,,,,,
11286129,8129031,85,861,Spectrum,3.4 GHz Band,2025-11-28,2024-07-01,2030-12-13,1,Granted,,,,,
11286131,8129031,85,861,Spectrum,3.4 GHz Band,2024-08-08,2021-07-13,2030-12-13,1,Granted,,,,,
112865/1,58050,2,203,Fixed,Point to Point,2026-04-20,2026-04-20,2027-05-04,1,Granted,9675475,,,,
112869/2,58050,2,203,Fixed,Point to Point,2026-04-20,2026-04-20,2027-05-04,1,Granted,10437389,20016317_JSMFAC3511,,,
112871/1,58050,2,203,Fixed,Point to Point,2026-04-20,2026-04-20,2027-05-04,1,Granted,9675481,,,,
112875/1,58050,2,203,Fixed,Point to Point,2026-04-20,2026-04-20,2027-05-04,1,Granted,9675485,,,,
11292268/2,439082,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-17,2026-03-17,2027-03-23,1,Granted,11648851,1130096_RD382ASa,,,
11292270/1,439082,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-17,2026-03-17,2027-03-23,1,Granted,11292922,20038343_RCS403_3,,,
11292725/1,84124,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-07-09,2026-07-09,2027-07-21,1,Granted,11292938,1103264_DB1819,,,
113065/1,58050,2,203,Fixed,Point to Point,2026-04-20,2026-04-20,2027-05-04,1,Granted,9675526,,,,
113069/1,58050,5,501,Maritime Coast,Limited Coast Assigned System,2026-04-20,2026-04-20,2027-05-04,1,Granted,9633916,,,,
11315193/1,20047564,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-05-08,2026-05-08,2027-05-25,1,Granted,11315239,20011258_NX596_1,,,
11315195/1,20047564,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-05-08,2026-05-08,2027-05-25,1,Granted,11315240,20011258_NX596_2,,,
11315196/1,20047564,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-05-08,2026-05-08,2027-05-25,1,Granted,11315241,20011258_NX596_3,,,
113186/1,58050,2,203,Fixed,Point to Point,2026-04-20,2026-04-20,2027-05-04,1,Granted,9675543,,,,
11323215/1,1425181,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-08-21,2026-08-21,2027-08-30,1,Granted,11324036,20038343_LMS_RCS406_4,,,
113316/2,58050,2,203,Fixed,Point to Point,2026-04-20,2026-04-20,2027-05-04,1,Granted,10384270,20016317_JSMFAC3053,,,
11337346/1,1144284,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-09-01,2026-09-01,2027-09-16,1,Granted,11337437,20038343_LMS_TH29_1,,,
11337347/1,1144284,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-09-01,2026-09-01,2027-09-16,1,Granted,11337438,20038343_LMS_TH29_2,,,
11337348/1,1144284,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-09-01,2026-09-01,2027-09-16,1,Granted,11337439,20038343_LMS_TH29_3,,,
11337369/1,1144284,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-09-01,2026-09-01,2027-09-16,1,Granted,11337452,20038343_LMS_TH29_4,,,
11337370/1,1144284,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-09-01,2026-09-01,2027-09-16,1,Granted,11337453,20038343_LMS_TH29_5,,,
11337371/1,1144284,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-09-01,2026-09-01,2027-09-16,1,Granted,11337454,20038343_LMS_TH29_6,,,
11337372/1,1144284,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-09-01,2026-09-01,2027-09-16,1,Granted,11337455,20038343_LMS_TH29_7,,,
11337374/1,1144284,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-09-01,2026-09-01,2027-09-16,1,Granted,11337715,20038343_LMS_TH29_8,,,
11345733,20048575,85,871,Spectrum,2.5 GHz Band,2023-11-08,2021-09-29,2029-09-30,1,Granted,,,,,
11346465/1,20017363,2,203,Fixed,Point to Point,2026-08-27,2026-08-27,2027-09-23,1,Granted,11346500,20029601_APP_OP-00574-00575,,,
11353026/1,1316295,2,203,Fixed,Point to Point,2025-10-21,2025-10-21,2026-10-13,1,Granted,11354251,20006604_SWP01-17xFX,,,
11354283/1,20017363,2,203,Fixed,Point to Point,2026-08-27,2026-08-27,2027-09-30,1,Granted,11356803,20029601_APP_OP-00581,,,
113597/1,58050,2,203,Fixed,Point to Point,2026-04-20,2026-04-20,2027-05-04,1,Granted,9675557,,,,
113606/1,58050,2,203,Fixed,Point to Point,2026-04-20,2026-04-20,2027-05-04,1,Granted,9675563,,,,
113608/1,58050,2,203,Fixed,Point to Point,2026-04-20,2026-04-20,2027-05-04,1,Granted,9675565,,,,
113705/1,58050,2,203,Fixed,Point to Point,2026-04-20,2026-04-20,2027-05-04,1,Granted,9675580,,,,
113707/1,58050,2,203,Fixed,Point to Point,2026-04-20,2026-04-20,2027-05-04,1,Granted,9675582,,,,
11376037/1,1144544,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-10-22,2025-10-22,2026-10-19,1,Granted,11376145,20038343_GD977,,,
113789/1,58050,2,203,Fixed,Point to Point,2026-04-20,2026-04-20,2027-05-04,1,Granted,9675606,,,,
113799/1,58050,5,501,Maritime Coast,Limited Coast Assigned System,2026-04-20,2026-04-20,2027-05-04,1,Granted,9633935,,,,
113800/1,58050,5,501,Maritime Coast,Limited Coast Assigned System,2026-04-20,2026-04-20,2027-05-04,1,Granted,9633938,,,,
1138014/1,46975,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-08-17,2026-08-17,2027-09-19,1,Granted,9830703,,,,
1138015/1,46975,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-08-17,2026-08-17,2027-09-19,1,Granted,9830704,,,,
11391571/1,20017363,2,203,Fixed,Point to Point,2025-09-23,2025-09-23,2026-11-01,1,Granted,11393409,20029601_APP_OP-00669-00670,,,
11391572/1,20017363,2,203,Fixed,Point to Point,2025-09-23,2025-09-23,2026-11-01,1,Granted,11393410,20029601_APP_OP-00669-00670,,,
11393460/1,20049396,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-12-03,2025-12-03,2026-11-29,1,Granted,11397119,1130096_SC1070A,,,
11398306/1,77058,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-02,2026-02-02,2027-02-03,1,Granted,11400031,1130096_SC1067C,,,
11398318/1,20049396,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-12-03,2025-12-03,2026-11-29,1,Granted,11400040,1130096_SC1070C,,,
1140585/2,1149151,2,203,Fixed,Point to Point,2026-05-25,2026-05-25,2027-05-31,1,Granted,10057097,,,,
11409094/1,1149151,2,203,Fixed,Point to Point,2026-05-25,2026-05-25,2027-05-31,1,Granted,11411728,1130105_NBN_DS_01_QR_081121,,,
11409095/1,1149151,2,203,Fixed,Point to Point,2026-05-25,2026-05-25,2027-05-31,1,Granted,11411729,1130105_NBN_DS_01_QR_081121,,,
11409096/1,1149151,2,203,Fixed,Point to Point,2026-05-25,2026-05-25,2027-05-31,1,Granted,11411730,1130105_NBN_DS_01_QR_081121,,,
11409097/1,1149151,2,203,Fixed,Point to Point,2026-05-25,2026-05-25,2027-05-31,1,Granted,11411731,1130105_NBN_DS_01_QR_081121,,,
11409100/1,1149151,2,203,Fixed,Point to Point,2026-05-25,2026-05-25,2027-05-31,1,Granted,11411734,1130105_NBN_DS_01_QR_081121,,,
114137/1,58050,2,203,Fixed,Point to Point,2026-04-20,2026-04-20,2027-05-04,1,Granted,9675610,,,,
1142031/1,20053835,2,203,Fixed,Point to Point,2026-04-11,2026-04-11,2028-05-19,1,Granted,9683989,,,,
1142157/2,20037563,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-23,2025-09-23,2026-09-26,1,Granted,10529213,,,,
114247/1,58050,2,203,Fixed,Point to Point,2026-04-20,2026-04-20,2027-05-04,1,Granted,9675629,,,,
1142613/1,1170617,1,108,Broadcasting,Commercial Radio,2022-02-18,2022-02-18,2027-02-20,1,Granted,10011356,,,1150711,
1142707/1,20053835,2,203,Fixed,Point to Point,2026-04-11,2026-04-11,2028-05-19,1,Granted,9684191,,,,
114271/1,58050,2,203,Fixed,Point to Point,2026-04-20,2026-04-20,2027-05-04,1,Granted,9675639,,,,
11427994/1,1149151,2,203,Fixed,Point to Point,2026-05-25,2026-05-25,2027-05-31,1,Granted,11428848,1130105_DS_01_QR_171121_number2,,,
11427996/1,1149151,2,203,Fixed,Point to Point,2026-05-25,2026-05-25,2027-05-31,1,Granted,11428850,1130105_DS_01_QR_171121_number2,,,
11428480/1,1144284,3,304,Land Mobile,Land Mobile System - > 30MHz,2021-11-18,2021-11-18,2026-11-17,1,Granted,11428858,20011258_TH30_1,,,
11428481/1,1144284,3,304,Land Mobile,Land Mobile System - > 30MHz,2021-11-18,2021-11-18,2026-11-17,1,Granted,11428859,20011258_TH30_2,,,
11436051/1,20001770,2,201,Fixed,Point to Multipoint - Land Mobile Spec,2026-07-29,2026-07-29,2027-07-27,1,Granted,11436356,20006728_UnityW_ptmpt_25_BBFF_241121,,,
11436453/3,8129031,2,203,Fixed,Point to Point,2026-04-22,2026-04-22,2027-05-31,1,Granted,12308221,20056206_App_Sub_012123,,,
11436454/3,8129031,2,203,Fixed,Point to Point,2026-04-22,2026-04-22,2027-05-31,1,Granted,12308220,20056206_App_Sub_012123,,,
11436455/3,8129031,2,203,Fixed,Point to Point,2026-04-22,2026-04-22,2027-05-31,1,Granted,12308223,20056206_App_Sub_012123,,,
11436456/3,8129031,2,203,Fixed,Point to Point,2026-04-22,2026-04-22,2027-05-31,1,Granted,12308222,20056206_App_Sub_012123,,,
11436457/1,8129031,2,203,Fixed,Point to Point,2026-04-22,2026-04-22,2027-05-31,1,Granted,11436593,1148302_App_Sub_007835,,,
11436458/1,8129031,2,203,Fixed,Point to Point,2026-04-22,2026-04-22,2027-05-31,1,Granted,11436594,1148302_App_Sub_007835,,,
11436459/1,8129031,2,203,Fixed,Point to Point,2026-04-22,2026-04-22,2027-05-31,1,Granted,11436595,1148302_App_Sub_007835,,,
11436460/1,8129031,2,203,Fixed,Point to Point,2026-04-22,2026-04-22,2027-05-31,1,Granted,11436596,1148302_App_Sub_007835,,,
11437180/1,20017363,2,203,Fixed,Point to Point,2025-10-17,2025-10-17,2026-11-25,1,Granted,11437419,20029601_APP_OP-00704,,,
114401/1,58050,2,203,Fixed,Point to Point,2026-04-20,2026-04-20,2027-05-04,1,Granted,9675660,,,,
1144254/1,71974,2,203,Fixed,Point to Point,2026-06-09,2026-06-09,2027-06-16,1,Granted,9684647,,,,
1144255/1,71974,2,203,Fixed,Point to Point,2026-06-09,2026-06-09,2027-06-16,1,Granted,9684649,,,,
11442792/1,20014348,2,203,Fixed,Point to Point,2025-12-05,2025-12-05,2026-12-02,1,Granted,11445046,1130095_App_Sub_007881,,,
1144304/1,1138584,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-11-28,2025-11-28,2026-12-06,1,Granted,9692102,,,,
1144855/1,1149181,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-01-09,2026-01-09,2027-01-20,1,Granted,9692520,,,,
11448712/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,11449804,20016317_JSMFAC8945,,,
11448863/1,8129031,2,203,Fixed,Point to Point,2026-04-22,2026-04-22,2027-05-31,1,Granted,11449808,1148302_App_Sub_007905,,,
11448864/1,8129031,2,203,Fixed,Point to Point,2026-04-22,2026-04-22,2027-05-31,1,Granted,11449809,1148302_App_Sub_007905,,,
11448865/2,8129031,2,203,Fixed,Point to Point,2026-04-22,2026-04-22,2027-05-31,1,Granted,11775896,20006728_NBN_ptpt_4BIL_VAR4_120922,,,
11448866/2,8129031,2,203,Fixed,Point to Point,2026-04-22,2026-04-22,2027-05-31,1,Granted,11775897,20006728_NBN_ptpt_4BIL_VAR5_120922,,,
1145476/1,20053835,2,203,Fixed,Point to Point,2026-04-11,2026-04-11,2028-05-19,1,Granted,9684874,,,,
11456796/1,58050,2,203,Fixed,Point to Point,2026-04-20,2026-04-20,2027-05-04,1,Granted,11458882,20016317_JSMFAC8975,,,
