LICENCE_NO,CLIENT_NO,SV_ID,SS_ID,LICENCE_TYPE_NAME,LICENCE_CATEGORY_NAME,DATE_ISSUED,DATE_OF_EFFECT,DATE_OF_EXPIRY,STATUS,STATUS_TEXT,AP_ID,AP_PRJ_IDENT,SHIP_NAME,BSL_NO,AWL_TYPE
12710343/1,1148961,2,203,Fixed,Point to Point,2026-05-18,2026-05-18,2027-05-26,1,Granted,12710454,20056206_App_Sub_013064,,,
12714847/1,1409360,2,203,Fixed,Point to Point,2026-04-13,2026-04-13,2027-05-01,1,Granted,12715793,20056206_App_Sub_013111,,,
12716136/1,536353,2,203,Fixed,Point to Point,2026-06-12,2026-06-12,2027-07-21,1,Granted,12716197,1141877_Digicomm_P2P-121124-1,,,
12716137/1,536353,2,203,Fixed,Point to Point,2026-06-12,2026-06-12,2027-07-21,1,Granted,12716198,1141877_Digicomm_P2P-121124-1,,,
12716209/1,20057649,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-11-27,2025-11-27,2026-12-12,1,Granted,12716551,1130096_CW102B,,,
127228/1,71843,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-07-17,2026-07-17,2027-07-20,1,Granted,9666363,,,,
127568/2,1142834,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-12,2025-09-12,2026-10-19,1,Granted,11185082,20011258_GD827_2,,,
127570/1,1142834,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-12,2025-09-12,2026-10-19,1,Granted,9666376,,,,
127571/1,1142834,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-12,2025-09-12,2026-10-19,1,Granted,9666377,,,,
127577/1,1142834,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-12,2025-09-12,2026-10-19,1,Granted,9666381,,,,
127578/1,1142834,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-12,2025-09-12,2026-10-19,1,Granted,9666382,,,,
127579/1,1142834,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-12,2025-09-12,2026-10-19,1,Granted,9666383,,,,
127580/1,1142834,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-12,2025-09-12,2026-10-19,1,Granted,9666384,,,,
127582/1,1142834,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-12,2025-09-12,2026-10-19,1,Granted,9666386,,,,
127583/1,1142834,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-12,2025-09-12,2026-10-19,1,Granted,9666387,,,,
127586/1,1142834,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-12,2025-09-12,2026-10-19,1,Granted,9666389,,,,
12771387/1,20017363,2,203,Fixed,Point to Point,2025-11-30,2025-11-30,2027-01-08,1,Granted,12771531,20029601_APP_OP-00012-00013,,,
12771388/1,20017363,2,203,Fixed,Point to Point,2025-11-30,2025-11-30,2027-01-08,1,Granted,12771532,20029601_APP_OP-00012-00013,,,
12775481/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,12775710,20016317_JSMFAC14118,,,
12777853/1,82694,2,203,Fixed,Point to Point,2025-11-26,2025-11-26,2026-12-01,1,Granted,12778444,20056206_App_Sub_013329,,,
12779522/1,1442707,2,200,Fixed,Point to Multipoint,2026-01-30,2026-01-30,2027-02-10,1,Granted,12779823,20011258_RIC162,,,
12781835/1,20004872,3,307,Land Mobile,Paging System - Exterior,2026-04-24,2026-04-24,2027-04-30,1,Granted,12782062,20011258_GD1533,,,
12782174/1,1148654,2,203,Fixed,Point to Point,2026-02-03,2026-02-03,2027-02-02,1,Granted,12784291,20011258_AUS137,,,
12783243/1,395302,3,308,Land Mobile,Paging System - Interior,2026-03-16,2026-03-16,2027-03-10,1,Granted,12783371,20025735_250051_01_of_02,,,
1280408/1,20053835,2,203,Fixed,Point to Point,2026-04-11,2026-04-11,2028-05-19,1,Granted,9694904,,,,
1280561/1,3792,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-07-10,2026-07-10,2027-06-30,1,Granted,9708877,,,,
1280711/1,20053835,2,203,Fixed,Point to Point,2026-04-11,2026-04-11,2028-05-19,1,Granted,9694939,,,,
12811990/1,20063469,3,302,Land Mobile,Ambulatory System,2026-07-02,2026-07-01,2027-04-29,1,Granted,12812777,1130096_MC222A,,,
12811991/1,20063469,3,302,Land Mobile,Ambulatory System,2026-07-02,2026-07-01,2027-04-29,1,Granted,12812778,1130096_MC222B,,,
12811993/1,20063469,3,302,Land Mobile,Ambulatory System,2026-07-02,2026-07-01,2027-04-29,1,Granted,12812780,1130096_MC222C,,,
12811994/1,20063469,3,302,Land Mobile,Ambulatory System,2026-07-02,2026-07-01,2027-04-29,1,Granted,12812781,1130096_MC222D,,,
12824672/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,12825484,20016317_JSMFAC14669,,,
12829963/1,514483,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-12-01,2025-12-01,2026-12-13,1,Granted,12829978,1130096_CW103A,,,
12829964/1,514483,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-12-01,2025-12-01,2026-12-13,1,Granted,12829979,1130096_CW103B,,,
