LICENCE_NO,CLIENT_NO,SV_ID,SS_ID,LICENCE_TYPE_NAME,LICENCE_CATEGORY_NAME,DATE_ISSUED,DATE_OF_EFFECT,DATE_OF_EXPIRY,STATUS,STATUS_TEXT,AP_ID,AP_PRJ_IDENT,SHIP_NAME,BSL_NO,AWL_TYPE
10000690/1,74734,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-07-13,2026-07-13,2027-07-10,1,Granted,10000900,20011258_BE45_1,,,
10000691/1,74734,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-07-13,2026-07-13,2027-07-10,1,Granted,10000899,20011258_BE45_2,,,
10002949/3,61629,2,203,Fixed,Point to Point,2026-05-29,2026-05-29,2027-06-01,1,Granted,12696608,20054753_Vary_15GHz_P2P_GD1471_1,,,
10006423/1,1401916,2,203,Fixed,Point to Point,2025-08-21,2025-08-21,2026-09-30,1,Granted,10006958,1143026_QES386_2-2,,,
10051222/1,70610,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-30,2026-03-30,2027-03-31,1,Granted,10053205,20011258_OE72_2,,,
10051235/3,1102518,1,105,Broadcasting,Narrowcasting Service (LPON),2026-05-12,2026-05-12,2027-06-01,1,Granted,10543894,,,,
10051260/2,70610,2,203,Fixed,Point to Point,2026-03-30,2026-03-30,2027-03-31,1,Granted,12418874,20054753_400MHz_P2P_ADC66_1,,,
10053274/2,31823,2,203,Fixed,Point to Point,2026-07-14,2026-07-14,2027-07-01,1,Granted,10060811,1148302_001631,,,
10053275/3,31823,2,203,Fixed,Point to Point,2026-07-14,2026-07-14,2027-07-01,1,Granted,10060869,1148302_001631,,,
10053639/1,435100,2,200,Fixed,Point to Multipoint,2025-09-12,2025-09-12,2026-09-23,1,Granted,10058397,1148302_001657,,,
10056924/1,20011915,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-06-26,2026-06-26,2027-06-27,1,Granted,10059898,20025735_160221,,,
10058372/1,20053835,2,203,Fixed,Point to Point,2026-04-11,2026-04-11,2028-05-19,1,Granted,10060356,1148302_001760,,,
10058373/1,20053835,2,203,Fixed,Point to Point,2026-04-11,2026-04-11,2028-05-19,1,Granted,10060357,1148302_001760,,,
10058374/1,20053835,2,203,Fixed,Point to Point,2026-04-11,2026-04-11,2028-05-19,1,Granted,10060358,1148302_001760,,,
10058375/1,20053835,2,203,Fixed,Point to Point,2026-04-11,2026-04-11,2028-05-19,1,Granted,10060359,1148302_001760,,,
10058376/1,20053835,2,203,Fixed,Point to Point,2026-04-11,2026-04-11,2028-05-19,1,Granted,10060360,1148302_001760,,,
10058377/1,20053835,2,203,Fixed,Point to Point,2026-04-11,2026-04-11,2028-05-19,1,Granted,10060361,1148302_001760,,,
10059266/1,85665,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-06-05,2026-06-05,2027-07-01,1,Granted,10061295,1143026_NX494_2-11,,,
10059679/1,20026788,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-06-10,2026-06-10,2027-06-19,1,Granted,10061822,20006728_DIBP_LMR_QLD_160616,,,
10061249/1,210019,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-05-10,2026-05-10,2027-06-19,1,Granted,10061250,,,,
10062257/1,20013543,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-05-13,2026-05-13,2027-06-22,1,Granted,10062286,,,,
10062981/1,20028875,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-07-24,2025-07-24,2026-07-25,1,Granted,10063339,20016317_JSMFAC887,,,
10062984/1,20028875,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-07-24,2025-07-24,2026-07-25,1,Granted,10063341,20016317_JSMFAC887,,,
10062985/1,20028875,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-07-24,2025-07-24,2026-07-25,1,Granted,10063342,20016317_JSMFAC887,,,
10065372/3,32296,2,200,Fixed,Point to Multipoint,2026-03-30,2026-03-30,2027-05-08,1,Granted,10266981,1148302_001914,,,
10067951/1,8129031,2,203,Fixed,Point to Point,2026-04-23,2026-04-22,2027-05-31,1,Granted,10068519,1130104_001948,,,
10067952/1,8129031,2,203,Fixed,Point to Point,2026-04-23,2026-04-22,2027-05-31,1,Granted,10068520,1130104_001948,,,
10069934/1,20004308,3,308,Land Mobile,Paging System - Interior,2026-06-05,2026-06-05,2027-07-06,1,Granted,10070147,1143026_GC869_1-2,,,
10069935/1,20004308,3,308,Land Mobile,Paging System - Interior,2026-06-05,2026-06-05,2027-07-06,1,Granted,10070148,1143026_GC869_2-2,,,
10070385/11,20029073,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-05-28,2026-05-28,2027-07-07,1,Granted,11675171,1148302_App_Sub_008646,,,
10070386/18,20029073,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-05-28,2026-05-28,2027-07-07,1,Granted,12694207,20056436_App_Sub_012963,,,
10070420/14,20029073,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-05-28,2026-05-28,2027-07-07,1,Granted,12694208,20056436_App_Sub_012963,,,
10074098/1,20053835,2,203,Fixed,Point to Point,2026-04-11,2026-04-11,2028-05-19,1,Granted,10076085,1148302_002085,,,
10074099/1,20053835,2,203,Fixed,Point to Point,2026-04-11,2026-04-11,2028-05-19,1,Granted,10076086,1148302_002085,,,
10075730/3,1311375,1,108,Broadcasting,Commercial Radio,2024-01-12,2024-01-12,2029-02-06,1,Granted,12154904,,,4163,
10077557/1,41389,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-06-15,2026-06-15,2027-07-25,1,Granted,10077582,,,,
10077566/1,41389,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-06-15,2026-06-15,2027-07-25,1,Granted,10077587,,,,
10077571/1,41389,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-06-15,2026-06-15,2027-07-25,1,Granted,10077589,,,,
10078072/1,41389,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-06-16,2026-06-16,2027-07-26,1,Granted,10078143,,,,
10080315/1,82694,2,203,Fixed,Point to Point,2025-11-26,2025-11-26,2026-12-01,1,Granted,10080442,1130096_EG135,,,
10080396/2,20031759,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-05-11,2026-05-11,2026-08-15,1,Granted,10259424,20025735_160331_1_of_6,,,
