Title,Station Number,Lat,Long,Basin,LGA Name,Location Types
Cedar Creek (Plunkett Rd) Alert,540790,-27.8324,153.1738,Logan-Albert Rivers,Logan City,Rain Gauge / Water Level
Walls Camp (Pacific Haven) Alert,540792,-25.24,152.5613,Burrum River,Fraser Coast Regional,Rain Gauge / Water Level
Darlington School Alert,540796,-28.2059,153.0408,Logan-Albert Rivers,Scenic Rim Regional,Rain Gauge / Water Level
Innisplain Alert,540797,-28.1704,152.9029,Logan-Albert Rivers,Scenic Rim Regional,Rain Gauge / Water Level
Munna Creek Alert,540823,-25.6188,152.2336,Mary River (Qld),Fraser Coast Regional,Rain Gauge / Water Level
Summerholm Al,540828,-27.6116,152.464,Brisbane River,Lockyer Valley Regional,Rain Gauge
Fords Road Al,540829,-27.529,152.1928,Brisbane River,Lockyer Valley Regional,Rain Gauge / Water Level
Dalby Alert,541041,-27.1833,151.2661,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge / Water Level
Moffatt Alert,541042,-27.0969,151.3978,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge / Water Level
Clydesdale Alert,541043,-27.1939,151.4864,Condamine-Culgoa Rivers,Toowoomba Regional,Rain Gauge / Water Level
Cooringa Alert,541044,-27.0908,151.5961,Condamine-Culgoa Rivers,Toowoomba Regional,Rain Gauge
Mt Brigalow Alert,541045,-27.2022,151.7861,Condamine-Culgoa Rivers,Toowoomba Regional,Rain Gauge
Cherrabah Alert,541061,-28.4389,152.0947,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge
Mosely's Alert,541062,-28.1639,152.2986,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge
Dalveen Alert,541063,-28.5,151.9706,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge
Carrs Lookout Alert,541064,-28.2944,152.4156,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge / Repeater
Amiens Knob Alert,541079,-28.6061,151.8175,Border Rivers,Southern Downs Regional,Rain Gauge / Repeater
Warahgai Alert,541080,-28.2269,151.4892,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge / Repeater
Mountain Station Creek Alert,541082,-28.7178,151.9847,Border Rivers,Southern Downs Regional,Rain Gauge / Water Level
Kettle Swamp Creek Al,541084,-28.6608,151.9494,Border Rivers,Southern Downs Regional,Rain Gauge / Water Level
Dalcouth Alert,541085,-28.6794,151.9831,Border Rivers,Southern Downs Regional,Rain Gauge / Water Level
Granite Street Alert,541086,-28.6633,151.9367,Border Rivers,Southern Downs Regional,Rain Gauge / Water Level
Stanthorpe Alert,541087,-28.6544,151.9189,Border Rivers,Southern Downs Regional,Rain Gauge / Water Level
Broadwater Creek Alert,541088,-28.5986,151.8883,Border Rivers,Southern Downs Regional,Rain Gauge / Water Level
Ballandean Alert,541089,-28.7847,151.82,Border Rivers,Southern Downs Regional,Water Level
Accommodation Creek Alert,541090,-28.8081,151.8364,Border Rivers,Southern Downs Regional,Rain Gauge / Water Level
Ballandean Hill Alert,541091,-28.7978,151.8303,Border Rivers,Southern Downs Regional,Rain Gauge / Repeater
Bony Mountain Alert,541092,-28.1014,151.8767,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge / Repeater
Goomburra Alert,541101,-28.0389,152.1081,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge / Water Level
Campbells Gully Alert,541103,-28.1781,152.0594,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge / Water Level
Torridon Alert,541104,-28.0522,151.59,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge / Water Level
Upper Dalrymple Ck Alert,541105,-27.9839,152.2909,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge
West Haldon Alert,541106,-27.7781,152.0803,Brisbane River,Toowoomba Regional,Rain Gauge
Inglewood Bridge Alert,541107,-28.4133,151.0825,Border Rivers,Goondiwindi Regional,Rain Gauge / Water Level
Woodspring Alert,541108,-28.3614,151.1381,Border Rivers,Goondiwindi Regional,Rain Gauge / Water Level
Artunga Alert,541110,-28.4014,151.2925,Border Rivers,Goondiwindi Regional,Rain Gauge / Water Level
Terraine Alert,541111,-28.4833,151.2761,Border Rivers,Goondiwindi Regional,Rain Gauge / Water Level
Barongarook Alert,541112,-28.4314,151.4622,Border Rivers,Goondiwindi Regional,Rain Gauge / Water Level
Upper Bracker Ck Alert,541113,-28.7847,151.4122,Border Rivers,Goondiwindi Regional,Rain Gauge
Canning Creek Alert,541114,-28.1711,151.1361,Border Rivers,Toowoomba Regional,Rain Gauge
Nyora Alert,541115,-28.1694,151.3928,Border Rivers,Goondiwindi Regional,Rain Gauge
Mt Burrabaranga Alert,541116,-28.3614,151.6717,Border Rivers,Goondiwindi Regional,Rain Gauge
Sengs Road Al,541117,-26.7186,151.2056,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge / Water Level
Jandowae Al,541118,-26.7794,151.1086,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge / Water Level
Cooranga Al,541119,-26.77,151.4064,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge
Niagara Al,541120,-26.6967,151.3933,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge
Diamondy Al,541121,-26.6333,151.2703,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge
Jandowae-Macalister Road Al,541122,-26.8919,151.0853,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge / Water Level
Chinchilla Al,541123,-26.7369,150.6228,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge / Water Level
Burncluith Bridge Al,541124,-26.6717,150.7206,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge / Water Level
Seven Oaks Al,541125,-26.7042,150.7631,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge / Water Level
Beruna Al,541126,-26.6433,150.8542,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge / Water Level
Braziers Hill Al,541127,-26.7261,151.1328,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge / Repeater
West Creek (Herries St) Tm,541128,-27.5643,151.9492,Condamine-Culgoa Rivers,Toowoomba Regional,Water Level
West Creek (Alderley St) Tm,541129,-27.5849,151.9456,Condamine-Culgoa Rivers,Toowoomba Regional,Water Level
East Creek (Alderley St) Tm,541130,-27.5883,151.9732,Condamine-Culgoa Rivers,Toowoomba Regional,Water Level
East Creek (Long St) Tm,541131,-27.5774,151.9692,Condamine-Culgoa Rivers,Toowoomba Regional,Water Level
East Creek (South St) Tm,541132,-27.5826,151.971,Condamine-Culgoa Rivers,Toowoomba Regional,Water Level
West Creek (Margaret St) Tm,541133,-27.5608,151.9508,Condamine-Culgoa Rivers,Toowoomba Regional,Water Level
Durikai Alert,541134,-28.2767,151.6022,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge
Cons Plains Alert,541135,-28.2297,152.4164,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge
Gambubal Rd Alert,541136,-28.2758,152.3447,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge
Harrisons Road Alert,541137,-28.2583,152.0925,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge / Water Level
Killarney (Spring Ck) Alert,541138,-28.3544,152.3319,Condamine-Culgoa Rivers,Southern Downs Regional,Water Level
Queen Mary Falls Alert,541139,-28.3342,152.3933,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge
Spicers Peak Alert,541140,-28.1133,152.3722,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge
Oakey (Oakey-Cooyar Rd) Tm,541141,-27.3969,151.7188,Condamine-Culgoa Rivers,Toowoomba Regional,Rain Gauge / Water Level
Karara Alert,541142,-28.1342,151.5697,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge / Water Level
Strathyre Rd Alert,541143,-28.1239,151.4742,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge
The Head Alert,541144,-28.2833,152.4175,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge / Water Level
Oakey (Pechey-Maclagan Rd) Tm,541145,-27.289,151.8051,Condamine-Culgoa Rivers,Toowoomba Regional,Rain Gauge / Water Level
Oakey (Weir Park) Tm,541146,-27.4297,151.7185,Condamine-Culgoa Rivers,Toowoomba Regional,Rain Gauge / Water Level
Oakey (Kingsthorpe Haden Rd) Tm,541147,-27.401,151.8326,Condamine-Culgoa Rivers,Toowoomba Regional,Rain Gauge / Water Level
Oakey (Boodua Muniganeen Rd) Tm,541148,-27.3734,151.8594,Condamine-Culgoa Rivers,Toowoomba Regional,Rain Gauge / Water Level
Kulpi Alert,541153,-27.1897,151.6994,Condamine-Culgoa Rivers,Toowoomba Regional,Rain Gauge
Warra Alert,541154,-26.9283,150.9181,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge / Water Level
Loudoun Bridge Alert,541155,-27.2136,151.1858,Condamine-Culgoa Rivers,Western Downs Regional,Water Level
Brigalow Bridge Alert,541156,-26.9044,150.7831,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge / Water Level
Centenary Bridge Tm,541158,-27.8086,151.3632,Condamine-Culgoa Rivers,Toowoomba Regional,Rain Gauge / Water Level
Jandowae Dam Alert,541162,-26.7608,151.1372,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge / Water Level
Upper Rosenthal Alert,541163,-28.4025,152.0386,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge / Repeater
Upper Emu Ck Alert,541164,-28.1608,152.3839,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge
Upper Quart Pot Ck Alert,541165,-28.7768,152.0161,Border Rivers,Southern Downs Regional,Rain Gauge
Goombungee Pechey-Maclagan Rd Tm,541166,-27.307,151.877,Condamine-Culgoa Rivers,Toowoomba Regional,Rain Gauge
Quinalow Peranga Rd Tm,541167,-27.106,151.624,Condamine-Culgoa Rivers,Toowoomba Regional,Rain Gauge / Water Level
Pilton Kings Crk Gatton-Clifton Rd Tm,541168,-27.859,152.056,Condamine-Culgoa Rivers,Toowoomba Regional,Rain Gauge
Jondaryan Lagoon Crk (Jondaryan Park) Tm,541169,-27.369,151.591,Condamine-Culgoa Rivers,Toowoomba Regional,Rain Gauge
Cambooya Hodgson Crk (Rolleston Park) Tm,541170,-27.706,151.862,Condamine-Culgoa Rivers,Toowoomba Regional,Water Level
Hodgson Crk Hodgsonvale Rd At Carroll Rd Tm,541171,-27.666,151.949,Condamine-Culgoa Rivers,Toowoomba Regional,Rain Gauge
Highfields Tm,541172,-27.443,151.964,Condamine-Culgoa Rivers,Toowoomba Regional,Rain Gauge
Millmerran Commens St Tm,541173,-27.878,151.264,Condamine-Culgoa Rivers,Toowoomba Regional,Rain Gauge
Athol Westbrook Crk Newton Rd Tm,541174,-27.613,151.793,Condamine-Culgoa Rivers,Toowoomba Regional,Rain Gauge
Scottsdale Alert,541190,-28.432,151.8756,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge
Pikes Creek Alert,541191,-28.69045,151.53888,Border Rivers,Southern Downs Regional,Rain Gauge
Upper Freestone,541192,-28.1341,152.2217,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge
