Title,Station Number,Lat,Long,Basin,LGA Name,Location Types
Congie Tm,545011,-26.8766,143.5853,Cooper Creek,Quilpie Shire,Rain Gauge
Bellalie Tm,545012,-27.0191,142.9404,Cooper Creek,Quilpie Shire,Rain Gauge / Water Level
Eromanga Al,545013,-26.6682,143.2668,Cooper Creek,Quilpie Shire,Rain Gauge
Thylungra Al,545014,-26.0957,143.4404,Cooper Creek,Quilpie Shire,Rain Gauge
Brunswick Hwy (Old Brunswick River Bridge) Radar WL,551197,-28.531291ÿ,153.539053ÿ,Unknown,Byron Shire Council,Water Level
Chinook (Mehi River),553011,-29.4752,149.977,Gwydir River,Moree Plains Shire Council,Water Level
Chaffey Dam D/S (Peel River),555006,-31.3431,151.1422,Namoi River,Tamworth Regional Council,Water Level
Taroona (Peel River),555009,-31.4333,151.1333,Namoi River,Tamworth Regional Council,Rain Gauge / Water Level
Chaffey Dam W/L (Peel River),555012,-31.35,151.1375,Namoi River,Tamworth Regional Council,Water Level / Reservoir
Carroll Village (Namoi River),555024,-30.9833,150.4417,Namoi River,Gunnedah Shire Council,Water Level
Nundle (Pearly Gates),555033,-31.5,151.093,Namoi River,Tamworth Regional Council,Water Level
Medows Lane (Goonoo Goonoo Ck),555034,-31.167,150.917,Namoi River,Tamworth Regional Council,Water Level
Kootingal (Cockburn River),555035,-31.083,151.033,Namoi River,Tamworth Regional Council,Water Level
Duncans Creek (Duncans Creek),555037,-31.3453,151.1752,Namoi River,Tamworth Regional Council,Rain Gauge / Water Level
Paradise Weir (Peel River),556005,-31.1022,150.9375,Namoi River,Tamworth Regional Council,Water Level
Armidale-Stephens Bridge (Dumaresq Creek),556017,-30.5117,151.67,Macleay River,Armidale Regional Council,Water Level
Newholme (Sandy Creek),556020,-30.43,151.65,Unknown,Armidale Regional Council,Rain Gauge / Water Level
Dumaresq Dam D/S (Dumaresq Creek),556022,-30.4661,151.6144,Macleay River,Armidale Regional Council,Rain Gauge / Water Level
South Lismore (Robert White Bridge) (Leycester Creek),556040,-28.804155,153.262469,Richmond River,Lismore City Council,Water Level
Georges Creek (Macleay River),557001,-30.7533,152.205,Macleay River,Armidale Regional Council,Water Level
Budds Mare (At The Campground),557014,-30.9847,151.9721,Macleay River,Walcha Council,Rain Gauge
Jeogla (At East Kunderang Rd),557015,-30.8108,152.071,Macleay River,Armidale Regional Council,Rain Gauge
Repentance (Coopers Creek),558000,-28.6408,153.4131,Richmond River,Byron Shire Council,Rain Gauge / Water Level
The Pocket (Marshalls Creek),558004,-28.5047,153.4772,Brunswick River,Byron Shire Council,Water Level
Lacks Creek (Middle Pocket),558005,-28.4944,153.4847,Brunswick River,Byron Shire Council,Rain Gauge / Water Level
Mullumbimby (Brunswick River),558006,-28.5528,153.4944,Brunswick River,Byron Shire Council,Water Level
Durrumbul (Brunswick River),558007,-28.5328,153.4567,Brunswick River,Byron Shire Council,Water Level
Mullumbimby Creek (Mullumbimby Ck),558008,-28.5542,153.4367,Brunswick River,Byron Shire Council,Rain Gauge / Water Level
Clarrie Hall Dam D/S,558009,-28.43,153.315,Tweed River,Tweed Shire Council,Water Level
Chinderah (Tweed River),558010,-28.231,153.555,Tweed River,Tweed Shire Council,Rain Gauge / Water Level
Tweed Heads (Duranbah),558011,-28.274,153.5267,Tweed River,Tweed Shire Council,Rain Gauge / Repeater
Woodlawn (Wilsons River),558012,-28.785,153.3036,Richmond River,Lismore City Council,Water Level
Tumbulgum (Tweed River),558014,-28.2769,153.4608,Tweed River,Tweed Shire Council,Rain Gauge / Water Level
Palmers Road,558018,-28.434,153.295,Tweed River,Tweed Shire Council,Rain Gauge / Water Level
Brunswick Heads (Brunswick River),558019,-28.5383,153.5517,Unknown,Byron Shire Council,Water Level
Billinudgel (Marshalls Creek),558020,-28.5016,153.5268,Brunswick River,Byron Shire Council,Water Level
Dry Dock (Terranora Inlet),558029,-28.193,153.524,Tweed River,Tweed Shire Council,Water Level
Goonellabah (Wyreema Rd),558035,-28.8222,153.3175,Richmond River,Lismore City Council,Repeater
Myocum,558036,-28.59,153.52,Unknown,Byron Shire Council,Rain Gauge
Letitia 2A,558041,-28.1973,153.56,Unknown,Tweed Shire Council,Water Level
Byrnes Point,558044,-28.875,153.525,Unknown,Ballina Shire Council,Water Level
Kynnumboon,558051,-28.3167,153.3833,Tweed River,Tweed Shire Council,Water Level
Main Arm Rain Gauge,558053,-28.501113,153.430539,Unknown,Byron Shire Council,Rain Gauge
Caravan Park (Wooli River),558060,-29.8517,153.253,Bellinger River,Clarence Valley Council,Water Level
Bray Park Weir,558065,-28.3511,153.3681,Tweed River,Tweed Shire Council,Water Level
Murwillumbah Bridge,558067,-28.3283,153.4,Tweed River,Tweed Shire Council,Water Level
Wooli (Browns Knob),558068,-29.9125,153.1275,Clarence River,Clarence Valley Council,Rain Gauge / Repeater
Houghlahan's Creek,558069,-28.784502,153.477255,Richmond River,Ballina Shire Council,Rain Gauge
Tuckombil,558071,-28.8178,153.4842,Richmond River,Ballina Shire Council,Rain Gauge / Repeater
Alstonville Stp,558072,-28.8306,153.4444,Richmond River,Ballina Shire Council,Rain Gauge
Goolmangar (Goolmangar Creek),558075,-28.4788,153.218,Richmond River,Lismore City Council,Rain Gauge / Water Level
Tuckurimba (Baxter Lane),558076,-28.9619,153.3066,Richmond River,Lismore City Council,Rain Gauge / Water Level
Terania Creek,558078,-28.588,153.2989,Richmond River,Lismore City Council,Rain Gauge
Couchy Creek,558079,-28.2662,153.279,Tweed River,Tweed Shire Council,Rain Gauge
Upper Rous River (Hopkins Creek),558080,-28.2722,153.2134,Tweed River,Tweed Shire Council,Rain Gauge
Numinbah,558081,-28.2703,153.2483,Tweed River,Tweed Shire Council,Rain Gauge
Clothiers Creek,558082,-28.336,153.476,Brunswick River,Tweed Shire Council,Rain Gauge
Burringbar Reservoir,558083,-28.4372,153.4729,Brunswick River,Tweed Shire Council,Rain Gauge / Repeater
Cudgera Creek (Pottsville Reservoir),558084,-28.402,153.533,Brunswick River,Tweed Shire Council,Rain Gauge
Bilambil Heights (Marana Reservoir),558085,-28.216,153.478,Tweed River,Tweed Shire Council,Rain Gauge
Jiggi (Gwynne Rd),558086,-28.676,153.1538,Richmond River,Lismore City Council,Rain Gauge
Lismore (Dawson Street),558087,-28.8081,153.2818,Richmond River,Lismore City Council,Rain Gauge / Water Level
Tyalgum Bridge (Tyalgum River),558088,-28.359,153.21,Tweed River,Tweed Shire Council,Rain Gauge / Water Level
Banora (Sewerage Treatmant Plant),558089,-28.204,153.531,Tweed River,Tweed Shire Council,Rain Gauge
Kingscliff (Sewerage Treatment Plant),558090,-28.256,153.548,Tweed River,Tweed Shire Council,Rain Gauge
Hastings (Sewerage Treatment Plant),558091,-28.353,153.56,Brunswick River,Tweed Shire Council,Rain Gauge
Bray Park (Water Treatment Plant),558092,-28.341,153.378,Tweed River,Tweed Shire Council,Rain Gauge
Murwillumbah (Sewerage Treatment Plant),558093,-28.323,153.348,Tweed River,Tweed Shire Council,Rain Gauge
Upper Crabbes Creek (Crabbes Creek Rd),558094,-28.4635,153.4526,Brunswick River,Tweed Shire Council,Rain Gauge
Lismore (Browns Ck Pump Stn),558100,-28.8058,153.2775,Richmond River,Lismore City Council,Water Level
Burringbar North Arm (Harwood Rd),558104,-28.405,153.46,Brunswick River,Tweed Shire Council,Rain Gauge
Crabbes Creek (Crabbes Creek),558105,-28.456,153.489,Brunswick River,Tweed Shire Council,Water Level
Burringbar Rd (Burringbar Creek),558106,-28.444,153.442,Brunswick River,Tweed Shire Council,Rain Gauge / Water Level
Upper Burringbar Rd,558107,-28.4531,153.406,Brunswick River,Tweed Shire Council,Rain Gauge
Coopers Shoot Repeater,558109,-28.6777,153.596,Richmond River,Byron Shire Council,Rain Gauge / Repeater
Mullumbimby Ck (Azalea St Bridge),558111,-28.5598,153.4933,Brunswick River,Byron Shire Council,Rain Gauge / Water Level
Findon Creek,558117,-28.388483,152.880316,Richmond River,Kyogle Council,Rain Gauge
Woolners Arm (Doubtful Creek),558118,-28.705041,152.850222,Richmond River,Kyogle Council,Rain Gauge
Mummulgum (Bingeebeebra Creek),558119,-28.788307,152.772829,Richmond River,Kyogle Council,Rain Gauge
Ainsworth Road (Middle Creek),558120,-28.916199,152.884091,Richmond River,Richmond Valley Council,Rain Gauge
Clearfield (Old Tenterfield Road),558121,-29.174539,152.877515,Richmond River,Richmond Valley Council,Rain Gauge
Keerrong Bridge Road (Terania Creek),558122,-28.713805,153.258414,Richmond River,Lismore City Council,Water Level
Gungas Road (Mulgum Creek),558123,-28.573231,153.247044,Richmond River,Lismore City Council,Water Level
Whiporie (Myall Creek),558124,-29.279701,152.990588,Richmond River,Richmond Valley Council,Water Level
Tatham Ellangowan Road (Sandy Creek),558125,-28.979784,153.121304,Richmond River,Richmond Valley Council,Water Level
Broadwater Bridge (Richmond River),558126,-29.013358,153.431075,Richmond River,Richmond Valley Council,Water Level
Bowraville Lanes Bridge (Nambucca River),559001,-30.6433,152.855,Bellinger River,Nambucca Valley Council,Water Level
Turners Flat (Macleay River),559002,-31.01,152.7119,Macleay River,Kempsey Shire Council,Rain Gauge / Water Level
Belmore River Entrance,559003,-31.0333,152.9417,Macleay River,Kempsey Shire Council,Water Level
Gleniffer (Never Never Creek),559004,-30.3883,152.8817,Bellinger River,Bellingen Shire Council,Rain Gauge / Water Level
Utungun (Taylors Arm),559005,-30.7306,152.85,Bellinger River,Nambucca Valley Council,Rain Gauge / Water Level
Macksville (Nambucca River),559006,-30.7078,152.92,Bellinger River,Nambucca Valley Council,Water Level
Kooroowi (Kalang River),559008,-30.4653,152.8222,Bellinger River,Bellingen Shire Council,Rain Gauge / Water Level
Kinchela Creek (Macleay River),559010,-30.9933,152.9883,Macleay River,Kempsey Shire Council,Water Level
Urunga (Kalang River),559011,-30.494,153.012,Bellinger River,Bellingen Shire Council,Water Level
Newry Island (Kalang River),559020,-30.5067,152.985,Bellinger River,Bellingen Shire Council,Water Level
Karangi (Orara River),559023,-30.2544,153.0328,Clarence River,Coffs Harbour City Council,Water Level
Repton (Bellinger River),559024,-30.4417,153.0217,Bellinger River,Bellingen Shire Council,Water Level
Belmore River U/S Floodgates,559029,-31.07,152.97,Macleay River,Kempsey Shire Council,Water Level
Seven Oaks (Macleay River),559034,-31,152.932,Macleay River,Kempsey Shire Council,Rain Gauge / Water Level
Toorooka (Macleay River),559038,-30.91,152.59,Macleay River,Kempsey Shire Council,Water Level
Fosters (Bellingen River),559047,-30.4417,152.8852,Bellinger River,Bellingen Shire Council,Water Level
Sherwood Bridge (Macleay River),559067,-31.0583,152.7314,Macleay River,Kempsey Shire Council,Water Level
Wooli Sportsground,559071,-29.858,153.266,Bellinger River,Clarence Valley Council,Rain Gauge
South Arm (South Arm Road),559074,-30.6909,152.7192,Bellinger River,Nambucca Valley Council,Rain Gauge
Thumb Creek (Taylors Arm Road),559075,-30.633,152.579,Bellinger River,Nambucca Valley Council,Rain Gauge
Upper Missabotti (Missabotti Road),559076,-30.564,152.7869,Bellinger River,Nambucca Valley Council,Rain Gauge
Kookaburra (at the School Hut),559085,-31.0238,152.3388,Macleay River,Kempsey Shire Council,Rain Gauge
Third Lane (Macleay River),559086,-31.0465,152.8624,Macleay River,Kempsey Shire Council,Water Level
Aldavilla D/S (Macleay River),559151,-31.0825,152.7831,Macleay River,Kempsey Shire Council,Rain Gauge / Water Level
Forbesdale (Barrington River),560001,-32.038,151.8667,Manning River,Mid-Coast Council,Water Level
Wauchope (Bain St),560009,-31.4522,152.7228,Hastings River,Port Macquarie-Hastings Council,Rain Gauge
Upsalls Creek Bridge (Upsalls Creek),560010,-31.6247,152.6575,Hastings River,Port Macquarie-Hastings Council,Water Level
Redoak (Stewarts River),560012,-31.7275,152.6389,Hastings River,Mid-Coast Council,Rain Gauge / Water Level
Port Macquarie (Water Supply Dam),560013,-31.4631,152.8989,Hastings River,Port Macquarie-Hastings Council,Rain Gauge
Port Macquarie (Golf Club),560014,-31.4844,152.9161,Hastings River,Port Macquarie-Hastings Council,Rain Gauge
Port Macquarie (Koala St),560015,-31.4525,152.9017,Hastings River,Port Macquarie-Hastings Council,Rain Gauge
Long Flat (Hastings River),560016,-31.4369,152.4886,Hastings River,Port Macquarie-Hastings Council,Rain Gauge / Water Level
Logans Crossing (Camden Haven River),560017,-31.6161,152.6925,Hastings River,Port Macquarie-Hastings Council,Rain Gauge / Water Level
Lake Cathie (Sewerage Treatment Works),560019,-31.5797,152.8381,Hastings River,Port Macquarie-Hastings Council,Rain Gauge
Koree Island (Hastings River),560020,-31.4628,152.6789,Hastings River,Port Macquarie-Hastings Council,Rain Gauge / Water Level
Kerewong (Broken Bago),560021,-31.5372,152.6931,Hastings River,Port Macquarie-Hastings Council,Rain Gauge
Kendall (Delward),560023,-31.6539,152.5561,Hastings River,Port Macquarie-Hastings Council,Rain Gauge
Comboyne (Thone River),560024,-31.6097,152.4625,Hastings River,Port Macquarie-Hastings Council,Rain Gauge
Lorne Bridge (Camden Haven River),560025,-31.6629,152.6108,Hastings River,Port Macquarie-Hastings Council,Water Level
Avon River Downstream (Waukivory Creek),560060,-32.0439,151.9625,Manning River,Mid-Coast Council,Water Level
Forbesdale (Gloucester River),560061,-32.059,151.897,Manning River,Mid-Coast Council,Water Level
Gloucester (Gloucester River),560062,-32.005,151.958,Manning River,Mid-Coast Council,Water Level
Bellevue (Gloucester River),560063,-32.0564,151.7131,Manning River,Mid-Coast Council,Water Level
Mundays Lane (Maria River),560067,-31.3253,152.8415,Hastings River,Port Macquarie-Hastings Council,Rain Gauge / Water Level
The Entrance (Tuggerah Lake),561001,-33.3633,151.5,Macquarie-Tuggerah Lakes,Central Coast Council (NSW),Rain Gauge / Water Level
Yarrandi Bridge (Dart Brook),561018,-32.0122,150.7828,Hunter River,Upper Hunter Shire Council,Rain Gauge / Water Level
Kalang Rd (Dora Creek),561062,-33.0842,151.4825,Macquarie-Tuggerah Lakes,Lake Macquarie City Council,Water Level
Wingen,561100,-31.8906,150.8745,Hunter River,Upper Hunter Shire Council,Rain Gauge / Water Level
Crystal Brook,561101,-31.945,150.8119,Hunter River,Upper Hunter Shire Council,Rain Gauge / Water Level
Lookout Rd Reservoir,561105,-32.9321,151.6899,Hunter River,Newcastle City Council,Repeater
Macquarie College,561111,-32.9209,151.6514,Hunter River,Newcastle City Council,Rain Gauge
Somersby,561123,-33.3981,151.2956,Hawkesbury River,Central Coast Council (NSW),Repeater
Kincumber,561124,-33.45,151.4031,Hawkesbury River,Central Coast Council (NSW),Repeater
Kangy Angy (Orchard Rd),561132,-33.3333,151.3901,Macquarie-Tuggerah Lakes,Central Coast Council (NSW),Rain Gauge
Woy Woy (Tip),561141,-33.5041,151.2912,Hawkesbury River,Central Coast Council (NSW),Rain Gauge
Kilcare Heights Reservoir,561143,-33.5216,151.3822,Hawkesbury River,Central Coast Council (NSW),Rain Gauge
Kariong Reservoir,561146,-33.4451,151.2966,Hawkesbury River,Central Coast Council (NSW),Rain Gauge
Wamberal Reservoir,561147,-33.4147,151.4431,Hunter River,Central Coast Council (NSW),Rain Gauge
Kincumber Mountain Reservoir,561148,-33.4632,151.3801,Hawkesbury River,Central Coast Council (NSW),Rain Gauge
Pearl Beach Reservoir,561151,-33.5364,151.3064,Hawkesbury River,Central Coast Council (NSW),Rain Gauge
Awaba (Stony Ck),561154,-33.015,151.5397,Macquarie-Tuggerah Lakes,Lake Macquarie City Council,Rain Gauge
Nords Wharf Oval (Nords Wharf),561155,-33.1301,151.6098,Macquarie-Tuggerah Lakes,Lake Macquarie City Council,Rain Gauge
Wangi Bowling Club,561156,-33.0666,151.5779,Macquarie-Tuggerah Lakes,Lake Macquarie City Council,Rain Gauge
Eleebana Reservoir,561158,-32.9956,151.6515,Macquarie-Tuggerah Lakes,Lake Macquarie City Council,Rain Gauge
Broken Back (Cedar Creek),561163,-32.827,151.151,Hunter River,Cessnock City Council,Rain Gauge
Bucketty,561164,-33.104,151.1369,Hunter River,Cessnock City Council,Rain Gauge
Laguna (Wollombi Brook),561166,-32.9901,151.1325,Hunter River,Cessnock City Council,Water Level
Millfield (Congewai Creek),561167,-32.9783,151.2463,Hunter River,Cessnock City Council,Rain Gauge / Water Level
Quorrobolong,561168,-32.936,151.352,Hunter River,Cessnock City Council,Rain Gauge
Wollombi (Wollombi Brook),561169,-32.934,151.134,Hunter River,Cessnock City Council,Water Level
Yango,561170,-32.962,151.101,Hunter River,Cessnock City Council,Rain Gauge
Dungog (Myall Creek),561171,-32.4006,151.757,Unknown,Dungog Shire Council,Water Level
Windale No.2,561172,-32.99,151.6916,Macquarie-Tuggerah Lakes,Lake Macquarie City Council,Rain Gauge
Swansea  No.8,561174,-33.0797,151.6317,Macquarie-Tuggerah Lakes,Lake Macquarie City Council,Rain Gauge
Dora Creek,561175,-33.097,151.5038,Macquarie-Tuggerah Lakes,Lake Macquarie City Council,Rain Gauge
Wyong Pool,561179,-33.2853,151.4282,Macquarie-Tuggerah Lakes,Central Coast Council (NSW),Rain Gauge
Lake Munmorah  ,561180,-33.194,151.5651,Macquarie-Tuggerah Lakes,Central Coast Council (NSW),Rain Gauge
Wellington (Bell River),562006,-32.5554,148.9409,Macquarie-Bogan Rivers,Dubbo Regional Council,Water Level
D/S Borenore Ck (Molong Ck ),563005,-33.1636,148.9597,Macquarie-Bogan Rivers,Cabonne Shire Council,Rain Gauge / Water Level
Perthville (Queen Charlotte Vale Creek),563027,-33.4917,149.5467,Unknown,Bathurst Regional Council,Rain Gauge / Water Level
Orange (Kite St),563049,-33.2857,149.0997,Macquarie-Bogan Rivers,Orange City Council,Rain Gauge / Water Level
Georges Plains (Queen Charlotte Creek),563061,-33.5273,149.5206,Macquarie-Bogan Rivers,Bathurst Regional Council,Rain Gauge / Water Level
White Rock (Macquarie River),563080,-33.4931,149.6205,Macquarie-Bogan Rivers,Bathurst Regional Council,Water Level
Orange (Dalton St Bridge),563081,-33.2771,149.1063,Macquarie-Bogan Rivers,Orange City Council,Water Level
Orange Stp Enviromon Basestation,563082,-33.2646,149.1287,Macquarie-Bogan Rivers,Orange City Council,Rain Gauge
Canobolas (Hillview),563083,-33.303,149.0474,Macquarie-Bogan Rivers,Orange City Council,Rain Gauge / Repeater
Orange (Spring Ck WTP),563084,-33.3172,149.1073,Macquarie-Bogan Rivers,Orange City Council,Rain Gauge
Orange (North Orange WWTP),563085,-33.2551,149.0775,Macquarie-Bogan Rivers,Orange City Council,Rain Gauge
Rock Forest (Macquarie River),563096,-33.3696,149.4579,Unknown,Bathurst Regional Council,Rain Gauge / Water Level
Gowan Green (Bell River),565018,-32.8006,148.9803,Macquarie-Bogan Rivers,Dubbo Regional Council,Water Level
Talbragar River At Gulambul Bridge,565020,-32.1808,148.7389,Unknown,Dubbo Regional Council,Water Level
Woronora Bridge (Woronora River),566045,-34.0209,151.0499,Sydney Coast-Georges River,Sutherland Shire Council,Water Level
Liverpool Weir U/S (Georges River),566054,-33.9267,150.9172,Hawkesbury River,Liverpool City Council,Water Level
Kelso Creek U/S Levee (Georges River),567048,-33.9548,150.9847,Sydney Coast-Georges River,Canterbury-Bankstown Council,Rain Gauge / Water Level
Kelso Creek D/S Levee (Georges River),567060,-33.9548,150.9847,Sydney Coast-Georges River,Canterbury-Bankstown Council,Water Level
Tomerong (Eucalypt Lane),568042,-35.0478,150.5378,Clyde River-Jervis Bay,Shoalhaven City Council,Rain Gauge
Sassafras,568160,-35.1056,150.2583,Shoalhaven River,Shoalhaven City Council,Rain Gauge
Picton (Stonequarry Ck),568172,-34.1791,150.6111,Hawkesbury River,Wollondilly Shire Council,Rain Gauge / Water Level
Budawang,568197,-35.4801,149.9957,Clyde River-Jervis Bay,Shoalhaven City Council,Repeater
Sussex Inlet,568198,-35.1711,150.5933,Clyde River-Jervis Bay,Shoalhaven City Council,Water Level / Tide Gauge
Island Point Rd (St Georges Basin),568200,-35.0989,150.5935,Clyde River-Jervis Bay,Shoalhaven City Council,Rain Gauge / Water Level / Reservoir
Tomerong Creek,568202,-35.0598,150.5815,Clyde River-Jervis Bay,Shoalhaven City Council,Rain Gauge / Water Level
Glennely Ck,568203,-35.0872,150.4563,Clyde River-Jervis Bay,Shoalhaven City Council,Rain Gauge
Foxground,568224,-34.7203,150.7692,Shoalhaven River,The Council of the Municipality of Kiama,Rain Gauge
Picton Lakesland Road,568295,-34.1833,150.55,Hawkesbury River,Wollondilly Shire Council,Rain Gauge
Belowra (Belowra Station),569035,-36.1975,149.7067,Tuross River,Eurobodalla Shire Council,Rain Gauge
Lobbs Hole (Murrumbidgee River),570003,-35.54,149.1,Murrumbidgee River,ACT,Water Level
Mt Macdonald (Murrumbidgee River),570017,-35.2917,148.955,Murrumbidgee River,ACT,Water Level
Cooma (Cherry Tree),570021,-36.3889,149.05,Snowy River,Snowy Monaro Regional Council,Rain Gauge
Cooma (Bondo),570025,-36.355,149.145,Murrumbidgee River,Snowy Monaro Regional Council,Rain Gauge
Cooma (Willarney),570028,-36.3083,149.0917,Murrumbidgee River,Snowy Monaro Regional Council,Rain Gauge
Cooma (Willow Grove),570030,-36.3,149.1417,Murrumbidgee River,Snowy Monaro Regional Council,Rain Gauge
Cooma Smec (Cooma Back Creek),570031,-36.24,149.1167,Murrumbidgee River,Snowy Monaro Regional Council,Rain Gauge / Water Level
Cooma (Myalla Lake),570032,-36.4083,149.1183,Murrumbidgee River,Snowy Monaro Regional Council,Rain Gauge
Koolaroo (Cooma Creek),570035,-36.2633,149.135,Murrumbidgee River,Snowy Monaro Regional Council,Rain Gauge / Water Level
Cooma (Benefield),570036,-36.265,149.1208,Murrumbidgee River,Snowy Monaro Regional Council,Rain Gauge / Repeater
Bullamalita,570063,-34.897,149.774,Hawkesbury River,Goulburn Mulwaree Council,Rain Gauge
U/S Pejar Dam,570064,-34.556,149.583,Hawkesbury River,Upper Lachlan Shire Council,Rain Gauge
Bumana,570065,-34.677,149.725,Hawkesbury River,Goulburn Mulwaree Council,Rain Gauge
Lansdowne Bridge (Mulwaree River),570066,-34.7691,149.7234,Hawkesbury River,Goulburn Mulwaree Council,Water Level
Inveralochy Bridge (Mulwaree Ponds),570067,-34.9584,149.6625,Hawkesbury River,Goulburn Mulwaree Council,Water Level
Marsden Weir (Wollondilly River),570070,-34.7365,149.7061,Hawkesbury River,Goulburn Mulwaree Council,Water Level
Alert Gauge #4,900001,0,0,Burnett River,North Burnett Regional,Rain Gauge
Allambie Lane,900002,-19.363935,146.708949,Ross River,Townsville City,Repeater
Back Beach Road at Djenghi ,900003,-16.94224,145.88576,Mulgrave-Russell Rivers,Yarrabah Shire,Water Level
Back Beach Road at Mourigan ,900004,-16.93138,145.8768,Mulgrave-Russell Rivers,Yarrabah Shire,Water Level
Back Beach Road at Oombunghi ,900005,-16.96726,145.88768,Mulgrave-Russell Rivers,Yarrabah Shire,Water Level
Back Beach Road at Reeves Creek ,900006,-16.9236,145.87357,Mulgrave-Russell Rivers,Yarrabah Shire,Water Level
Ballangarry Bridge,900007,-28.4189913,148.812903,Unknown,Balonne Shire,Water Level
Bloomfield River Bridge TM,900008,-15.951554,145.320164,Bloomfield River,Wujal Wujal Aborginal Shire,Water Level
Blue Bush Creek,900009,-23.21284,142.8654,Diamantina River,Winton Shire,Rain Gauge
Bouldercombe Alert,900010,-23.6036,150.4568,Fitzroy River (Qld),Rockhampton Regional,Rain Gauge
Bukki Road Bridge,900011,-16.924786,145.903,Mulgrave-Russell Rivers,Yarrabah Shire,Water Level
Bushley Alert,900012,-23.5919,150.2382,Fitzroy River (Qld),Rockhampton Regional,Rain Gauge
Ewart Creek Alert,900013,-23.7003,150.5483,Fitzroy River (Qld),Rockhampton Regional,Rain Gauge
Hanrahans Crossing TM,900014,-23.469,150.0296,Fitzroy River (Qld),Rockhampton Regional,Rain Gauge / Water Level
Kabra Alert,900015,-23.47,150.396,Fitzroy River (Qld),Rockhampton Regional,Rain Gauge / Water Level
Kogan Condamine Rd AL,900016,-26.89262775,150.3800196,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge / Water Level
Laidley Alexandre Street,900017,-27.626082,152.385557,Unknown,Lockyer Valley Regional,Water Level
Mt Archer Alert,900019,-23.337514,150.572536,Fitzroy River (Qld),Rockhampton Regional,Rain Gauge / Repeater
Mulgowie Western Bank,900020,-27.727242,152.359386,Unknown,Lockyer Valley Regional,Water Level
Nogo River at Rawbelle,900021,-25.56271,150.839679,Burnett River,North Burnett Regional,Rain Gauge / Water Level
Percy Hindmarsh,900022,-24.89711,150.696552,Burnett River,North Burnett Regional,Rain Gauge / Water Level
Point Road at the Waterfall/Old Cemetery ,900023,-16.90453,145.86284,Mulgrave-Russell Rivers,Yarrabah Shire,Water Level
Poison Creek Alert,900024,-23.6748,150.5389,Fitzroy River (Qld),Rockhampton Regional,Rain Gauge
Rocky Crossing,900026,-27.8571185,149.3799619,Unknown,Balonne Shire,Water Level
Three Moon Ck at Biegogo,900027,-24.562708,151.004785,Burnett River,North Burnett Regional,Rain Gauge / Water Level
Tirranna Springs Crossing (QRA),900028,-17.891609,139.287044,Unknown,Burke Shire,Water Level
Upper Dawson TM,900029,-25.4227,148.6355,Fitzroy River (Qld),Banana Shire,Rain Gauge
Upper Gracemere Alert,900030,-23.5517,150.3987,Fitzroy River (Qld),Rockhampton Regional,Rain Gauge
Yambuk Alert,900031,-23.114338,149.351147,Fitzroy River (Qld),Rockhampton Regional,Rain Gauge / Repeater
Barrackdale Choke (South),900032,-27.5322705,148.7355397,Condamine-Culgoa Rivers,Balonne Shire,Rain Gauge / Water Level
Nash's Crossing Alert (Decoupled RG),900036,-18.415064,145.771796,Herbert River,Hinchinbrook Shire,Rain Gauge
Flaggy Creek Alert (Decoupled RG),900037,-16.796434,145.554651,Barron River,Mareeba Shire,Rain Gauge
Emmigrant creek (ballina local),900038,-28.828737,153.526772,Unknown,Ballina Shire Council,Water Level
North Creek (ballina local),900039,-28.788176,153.56347,Unknown,Ballina Shire Council,Water Level
Midgen Flat at Newrybar,900040,-28.71145,153.561778,Unknown,Ballina Shire Council,Rain Gauge
Hinterland Way at Newrybar,900041,-28.760236,153.533939,Unknown,Ballina Shire Council,Rain Gauge
Kings Creek Bridge Radar WL,900042,-28.562093,153.519963ÿ,Unknown,Byron Shire Council,Water Level
Suffolk Park (Broken Hd Rd Crossing),900043,-28.688273,153.607998ÿ,Unknown,Byron Shire Council,Water Level
Waterlily Park (Ocean Shores),900044,-28.519103,153.535551,Unknown,Byron Shire Council,Water Level
Coral Ave at Mullumbimby (Brunswick River),900045,-28.548502ÿ,153.485368ÿ,Unknown,Byron Shire Council,Water Level
Iluka Rd (Local flood warning system),900047,-29.353548,153.31786,Unknown,Clarence Valley Council,Water Level
Ashford Avenue,900048,-33.931139,150.990551,Unknown,Canterbury-Bankstown Council,Water Level
Como Bridge,900049,-33.997,151.0709,Unknown,Sutherland Shire Council,Rain Gauge
Mt Hercules (Thurns Rd),900050,-34.145,150.6458,Unknown,Wollondilly Shire Council,Water Level
Mandagery Creek at Escort Rock,900051,-33.401631,148.408566,Lachlan River,Cabonne Shire Council,Water Level
Shannon Ck Dam Mt Top RN ,900052,-29.848551,152.774053,Unknown,Clarence Valley Council,Rain Gauge
Shannon Ck Dam D/S,900053,-29.822862,152.796539,Unknown,Clarence Valley Council,Rain Gauge / Water Level
Shannon Ck Dam U/S,900054,-29.84973,152.759548,Unknown,Clarence Valley Council,Rain Gauge / Water Level
Little RIver at Arthurville,900055,-32.571624,148.724746,Unknown,Dubbo Regional Council,Water Level
Foleyvale Alert (Decoupled RG),900056,-23.51312,149.70927,Fitzroy River (Qld),Woorabinda Aboriginal Shire,Rain Gauge
